Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-07-25 11:52:13.278 -0600,"Failure",0:00:00,1,0,0,"20180725_115213.278/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'epm_api'",0
2018-07-25 11:52:21.199 -0600,"Failure",0:00:01,1,0,0,"20180725_115221.199/LogFile.txt","","SRUN_InvalidValueExpr -- Unable to take value of expression 'A valid token must be passed.' (reason: (authenticationtype:"""", httpmethod:""POST"", mimeType:""text/plain"", oauthToken:"""", password:""*********"", requestbody:@""{\\n  \\""group\\"": \\""group\\"",\\n  \\""modelName\\"": \\""User_ID\\""\\n}"", requestbodyformat:""JSON (application/json)"", requestheaders:""eyJhbGciOiJIUzI1NiJ9.eyJleHAiOjE1MzI1NDQzODUsImlhdCI6MTUzMjU0MDc4NSwiaXNzIjoiZWdncGxhbnRhaS5jb20iLCJ1c2VyIjp7InVzZXJuYW1lIjoicmFuZHkuaGVzc2VAdGVzdHBsYW50LmNvbSJ9fQ.CQfeEtjpk3exZf_BGzXZ1gYQA47gUn2CReFq0OB9J5k"", responseBody:""A valid token must be passed."", responseCookies:(:), responseHeaders:(Connection:""keep-alive"", @""Content-Type"":""text/plain"", Date:""Wed, 25 Jul 2018 17:52:15 GMT"", Server:""nginx/1.8.0"", @""Transfer-Encoding"":""Identity""), responseTime:""0.627549"", statusCode:""401"", url:""https://eggplantai.testplant.com/api/run"", username:""""))",0
2018-07-25 12:39:03.491 -0600,"Failure",0:00:01,1,0,0,"20180725_123903.491/LogFile.txt","","SRUN_InvalidValueExpr -- Unable to take value of expression 'A valid token must be passed.' (reason: (authenticationtype:"""", httpmethod:""POST"", mimeType:""text/plain"", oauthToken:"""", password:""*********"", requestbody:@""{\\n  \\""group\\"": \\""group\\"",\\n  \\""modelName\\"": \\""User_ID\\""\\n}"", requestbodyformat:""JSON (application/json)"", requestheaders:""eyJhbGciOiJIUzI1NiJ9.eyJleHAiOjE1MzI1NDQzODUsImlhdCI6MTUzMjU0MDc4NSwiaXNzIjoiZWdncGxhbnRhaS5jb20iLCJ1c2VyIjp7InVzZXJuYW1lIjoicmFuZHkuaGVzc2VAdGVzdHBsYW50LmNvbSJ9fQ.CQfeEtjpk3exZf_BGzXZ1gYQA47gUn2CReFq0OB9J5k"", responseBody:""A valid token must be passed."", responseCookies:(:), responseHeaders:(Connection:""keep-alive"", @""Content-Type"":""text/plain"", Date:""Wed, 25 Jul 2018 18:38:57 GMT"", Server:""nginx/1.8.0"", @""Transfer-Encoding"":""Identity""), responseTime:""0.757997"", statusCode:""401"", url:""https://eggplantai.testplant.com/api/run"", username:""""))",0
2018-07-25 12:39:49.478 -0600,"Failure",0:00:00,1,0,0,"20180725_123949.478/LogFile.txt","","SRUN_InvalidValueExpr -- Unable to take value of expression 'A valid token must be passed.' (reason: (authenticationtype:"""", httpmethod:""POST"", mimeType:""text/plain"", oauthToken:"""", password:""*********"", requestbody:@""{\\n  \\""group\\"": \\""randy@hesse@testplant.com\\"",\\n  \\""modelName\\"": \\""User_ID\\""\\n}"", requestbodyformat:""JSON (application/json)"", requestheaders:""bearer eyJhbGciOiJIUzI1NiJ9.eyJleHAiOjE1MzI1NDQzODUsImlhdCI6MTUzMjU0MDc4NSwiaXNzIjoiZWdncGxhbnRhaS5jb20iLCJ1c2VyIjp7InVzZXJuYW1lIjoicmFuZHkuaGVzc2VAdGVzdHBsYW50LmNvbSJ9fQ.CQfeEtjpk3exZf_BGzXZ1gYQA47gUn2CReFq0OB9J5k"", responseBody:""A valid token must be passed."", responseCookies:(:), responseHeaders:(Connection:""keep-alive"", @""Content-Type"":""text/plain"", Date:""Wed, 25 Jul 2018 18:39:42 GMT"", Server:""nginx/1.8.0"", @""Transfer-Encoding"":""Identity""), responseTime:""0.155911"", statusCode:""401"", url:""https://eggplantai.testplant.com/api/run"", username:""""))",0
2018-07-25 12:40:18.410 -0600,"Failure",0:00:00,1,0,0,"20180725_124018.410/LogFile.txt","","SRUN_InvalidValueExpr -- Unable to take value of expression 'A valid token must be passed.' (reason: (authenticationtype:"""", httpmethod:""POST"", mimeType:""text/plain"", oauthToken:"""", password:""*********"", requestbody:@""{\\n  \\""group\\"": \\""randy@hesse@testplant.com\\"",\\n  \\""modelName\\"": \\""User_ID\\""\\n}"", requestbodyformat:"""", requestheaders:""bearer eyJhbGciOiJIUzI1NiJ9.eyJleHAiOjE1MzI1NDQzODUsImlhdCI6MTUzMjU0MDc4NSwiaXNzIjoiZWdncGxhbnRhaS5jb20iLCJ1c2VyIjp7InVzZXJuYW1lIjoicmFuZHkuaGVzc2VAdGVzdHBsYW50LmNvbSJ9fQ.CQfeEtjpk3exZf_BGzXZ1gYQA47gUn2CReFq0OB9J5k"", responseBody:""A valid token must be passed."", responseCookies:(:), responseHeaders:(Connection:""keep-alive"", @""Content-Type"":""text/plain"", Date:""Wed, 25 Jul 2018 18:40:11 GMT"", Server:""nginx/1.8.0"", @""Transfer-Encoding"":""Identity""), responseTime:""0.166203"", statusCode:""401"", url:""https://eggplantai.testplant.com/api/run"", username:""""))",0
2018-07-25 12:40:42.697 -0600,"Failure",0:00:00,1,0,0,"20180725_124042.697/LogFile.txt","","SRUN_InvalidValueExpr -- Unable to take value of expression 'A valid token must be passed.' (reason: (authenticationtype:"""", httpmethod:""POST"", mimeType:""text/plain"", oauthToken:"""", password:""*********"", requestbody:@""{\\n  \\""group\\"": \\""randy@hesse@testplant.com\\"",\\n  \\""modelName\\"": \\""me\\""\\n}"", requestbodyformat:"""", requestheaders:""bearer eyJhbGciOiJIUzI1NiJ9.eyJleHAiOjE1MzI1NDQzODUsImlhdCI6MTUzMjU0MDc4NSwiaXNzIjoiZWdncGxhbnRhaS5jb20iLCJ1c2VyIjp7InVzZXJuYW1lIjoicmFuZHkuaGVzc2VAdGVzdHBsYW50LmNvbSJ9fQ.CQfeEtjpk3exZf_BGzXZ1gYQA47gUn2CReFq0OB9J5k"", responseBody:""A valid token must be passed."", responseCookies:(:), responseHeaders:(Connection:""keep-alive"", @""Content-Type"":""text/plain"", Date:""Wed, 25 Jul 2018 18:40:36 GMT"", Server:""nginx/1.8.0"", @""Transfer-Encoding"":""Identity""), responseTime:""0.167276"", statusCode:""401"", url:""https://eggplantai.testplant.com/api/run"", username:""""))",0
2018-07-25 12:41:51.353 -0600,"Failure",0:00:00,1,0,0,"20180725_124151.353/LogFile.txt","","SRUN_InvalidValueExpr -- Unable to take value of expression 'A valid token must be passed.' (reason: (authenticationtype:"""", httpmethod:""POST"", mimeType:""text/plain"", oauthToken:"""", password:""*********"", requestbody:@""{\\n  \\""group\\"": \\""randy@hesse@testplant.com\\"",\\n  \\""modelName\\"": \\""me\\""\\n}"", requestbodyformat:"""", requestheaders:""bearer eyJhbGciOiJIUzI1NiJ9.eyJleHAiOjE1MzI1NDc2ODYsImlhdCI6MTUzMjU0NDA4NiwiaXNzIjoiZWdncGxhbnRhaS5jb20iLCJ1c2VyIjp7InVzZXJuYW1lIjoicmFuZHkuaGVzc2VAdGVzdHBsYW50LmNvbSJ9fQ.PdUOSwpFncVu_wDwjf9xiJ_-aCpQlokZDztKW0LVfi8"", responseBody:""A valid token must be passed."", responseCookies:(:), responseHeaders:(Connection:""keep-alive"", @""Content-Type"":""text/plain"", Date:""Wed, 25 Jul 2018 18:41:44 GMT"", Server:""nginx/1.8.0"", @""Transfer-Encoding"":""Identity""), responseTime:""0.16635"", statusCode:""401"", url:""https://eggplantai.testplant.com/api/run"", username:""""))",0
2018-07-25 12:42:29.221 -0600,"Success",0:00:00,0,0,0,"20180725_124229.221/LogFile.txt","","",1
2018-07-25 12:42:39.004 -0600,"Success",0:00:00,0,0,0,"20180725_124239.004/LogFile.txt","","",1
2018-07-25 12:42:49.581 -0600,"Success",0:00:00,0,0,0,"20180725_124249.581/LogFile.txt","","",1
