Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-12-19 21:25:12.634 -0800,"Failure",0:00:00,1,0,0,"20161219_212512.634/LogFile.txt","","STInvalidNumber -- Value is not a number: 'max'",0
2016-12-19 21:25:36.026 -0800,"Failure",0:00:00,1,0,0,"20161219_212536.026/LogFile.txt","","SRUN_BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got 'PREFIX,FIRST_NAME,MIDDLE_NAME,LAST_NAME,MEDICAL_RECORD_NUMBER,DATE_OF_BIRTH,SOCIAL_SECURITY_NUMBER,GENDER,MARITAL_STATUS'.",0
2016-12-19 21:25:48.870 -0800,"Failure",0:00:00,1,0,0,"20161219_212548.870/LogFile.txt","","SRUN_BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got 'PREFIX,FIRST_NAME,MIDDLE_NAME,LAST_NAME,MEDICAL_RECORD_NUMBER,DATE_OF_BIRTH,SOCIAL_SECURITY_NUMBER,GENDER,MARITAL_STATUS'.",0
2016-12-19 21:26:59.679 -0800,"Success",0:00:07,0,0,0,"20161219_212659.679/LogFile.txt","","",1
2016-12-19 21:27:27.316 -0800,"Success",0:00:14,0,0,0,"20161219_212727.316/LogFile.txt","","",1
2016-12-19 21:28:02.417 -0800,"Success",0:00:00,0,0,0,"20161219_212802.417/LogFile.txt","","",1
2016-12-19 21:29:10.133 -0800,"Failure",0:00:00,1,0,0,"20161219_212910.133/LogFile.txt","","SRUN_BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got 'PREFIX,FIRST_NAME,MIDDLE_NAME,LAST_NAME,MEDICAL_RECORD_NUMBER,DATE_OF_BIRTH,SOCIAL_SECURITY_NUMBER,GENDER,MARITAL_STATUS'.",0
2016-12-19 21:29:31.564 -0800,"Failure",0:00:00,1,0,0,"20161219_212931.564/LogFile.txt","","SRUN_BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got 'PREFIX,FIRST_NAME,MIDDLE_NAME,LAST_NAME,MEDICAL_RECORD_NUMBER,DATE_OF_BIRTH,SOCIAL_SECURITY_NUMBER,GENDER,MARITAL_STATUS'.",0
2016-12-19 21:29:41.624 -0800,"Failure",0:00:00,1,0,0,"20161219_212941.624/LogFile.txt","","SRUN_BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got 'PREFIX,FIRST_NAME,MIDDLE_NAME,LAST_NAME,MEDICAL_RECORD_NUMBER,DATE_OF_BIRTH,SOCIAL_SECURITY_NUMBER,GENDER,MARITAL_STATUS'.",0
2016-12-19 21:30:04.081 -0800,"Failure",0:00:00,1,0,0,"20161219_213004.081/LogFile.txt","","SRUN_BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got 'PREFIX,FIRST_NAME,MIDDLE_NAME,LAST_NAME,MEDICAL_RECORD_NUMBER,DATE_OF_BIRTH,SOCIAL_SECURITY_NUMBER,GENDER,MARITAL_STATUS'.",0
2016-12-19 21:30:39.376 -0800,"Failure",0:00:00,1,0,0,"20161219_213039.376/LogFile.txt","","SRUN_BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got 'PREFIX,FIRST_NAME,MIDDLE_NAME,LAST_NAME,MEDICAL_RECORD_NUMBER,DATE_OF_BIRTH,SOCIAL_SECURITY_NUMBER,GENDER,MARITAL_STATUS'.",0
2016-12-19 21:30:52.899 -0800,"Failure",0:00:00,1,0,0,"20161219_213052.899/LogFile.txt","","SRUN_BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got 'PREFIX,FIRST_NAME,MIDDLE_NAME,LAST_NAME,MEDICAL_RECORD_NUMBER,DATE_OF_BIRTH,SOCIAL_SECURITY_NUMBER,GENDER,MARITAL_STATUS'.",0
2016-12-19 21:31:18.784 -0800,"Success",0:00:09,0,0,0,"20161219_213118.784/LogFile.txt","","",1
2016-12-19 21:32:06.001 -0800,"Success",0:00:04,0,0,0,"20161219_213206.001/LogFile.txt","","",1
2016-12-19 21:32:51.073 -0800,"Success",0:00:04,0,0,0,"20161219_213251.073/LogFile.txt","","",1
2016-12-19 21:33:09.299 -0800,"Success",0:00:00,0,0,0,"20161219_213309.299/LogFile.txt","","",1
2016-12-19 21:33:18.069 -0800,"Success",0:00:00,0,0,0,"20161219_213318.069/LogFile.txt","","",1
2016-12-19 21:34:33.437 -0800,"Success",0:00:03,0,0,0,"20161219_213433.437/LogFile.txt","","",1
2016-12-19 21:36:03.638 -0800,"Failure",0:00:00,1,0,0,"20161219_213603.638/LogFile.txt","","STInvalidNumber -- Value is not a number: 'max'",0
2016-12-19 21:36:23.179 -0800,"Success",0:00:04,0,0,0,"20161219_213623.179/LogFile.txt","","",1
2016-12-19 21:36:51.281 -0800,"Running",0:00:00,0,0,0,"20161219_213651.281/LogFile.txt","","",0
2016-12-19 21:37:01.838 -0800,"Success",0:00:01,0,0,0,"20161219_213701.838/LogFile.txt","","",1
2016-12-19 21:37:12.190 -0800,"Success",0:00:01,0,0,0,"20161219_213712.190/LogFile.txt","","",1
2016-12-19 21:38:25.774 -0800,"Success",0:00:01,0,0,0,"20161219_213825.774/LogFile.txt","","",1
2016-12-19 21:38:36.805 -0800,"Success",0:00:01,0,0,0,"20161219_213836.805/LogFile.txt","","",1
2016-12-19 21:38:50.897 -0800,"Success",0:00:01,0,0,0,"20161219_213850.897/LogFile.txt","","",1
2016-12-19 21:39:11.645 -0800,"Success",0:00:01,0,0,0,"20161219_213911.645/LogFile.txt","","",1
2016-12-19 21:39:38.127 -0800,"Success",0:00:01,0,0,0,"20161219_213938.127/LogFile.txt","","",1
2016-12-19 21:41:16.656 -0800,"Success",0:00:00,0,0,0,"20161219_214116.656/LogFile.txt","","",1
2016-12-19 21:42:23.981 -0800,"Success",0:00:00,0,0,0,"20161219_214223.981/LogFile.txt","","",1
2016-12-19 21:42:44.126 -0800,"Failure",0:00:00,1,0,0,"20161219_214244.126/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'prefix'",0
2016-12-19 21:50:07.598 -0800,"Success",0:00:01,0,0,0,"20161219_215007.598/LogFile.txt","","",1
2016-12-19 21:50:34.349 -0800,"Success",0:00:01,0,0,0,"20161219_215034.349/LogFile.txt","","",1
2016-12-19 21:51:00.378 -0800,"Success",0:00:01,0,0,0,"20161219_215100.378/LogFile.txt","","",1
2016-12-19 21:52:41.369 -0800,"Success",0:00:01,0,0,0,"20161219_215241.369/LogFile.txt","","",1
2016-12-19 22:01:50.946 -0800,"Success",0:00:04,0,0,0,"20161219_220150.946/LogFile.txt","","",1
2016-12-19 22:03:03.441 -0800,"Success",0:00:03,0,0,0,"20161219_220303.441/LogFile.txt","","",1
2016-12-19 22:03:23.189 -0800,"Success",0:00:02,0,0,0,"20161219_220323.189/LogFile.txt","","",1
2016-12-19 22:06:18.167 -0800,"Success",0:00:00,0,0,0,"20161219_220618.167/LogFile.txt","","",1
