Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-11-01 22:00:46.033 -0400,"Success",0:00:00,0,0,0,"20161101_220046.033/LogFile.txt","","",1
2016-11-01 22:00:56.503 -0400,"Success",0:00:00,0,0,0,"20161101_220056.503/LogFile.txt","","",1
2016-11-01 22:01:27.220 -0400,"Success",0:00:00,0,0,0,"20161101_220127.220/LogFile.txt","","",1
2016-11-01 22:01:35.721 -0400,"Success",0:00:00,0,0,0,"20161101_220135.721/LogFile.txt","","",1
2016-11-01 22:02:08.942 -0400,"Success",0:00:00,0,0,0,"20161101_220208.942/LogFile.txt","","",1
2016-11-01 22:02:31.104 -0400,"Success",0:00:00,0,0,0,"20161101_220231.104/LogFile.txt","","",1
2016-11-01 22:02:59.293 -0400,"Success",0:00:00,0,0,0,"20161101_220259.293/LogFile.txt","","",1
2016-11-01 22:04:30.064 -0400,"Success",0:00:00,0,0,0,"20161101_220430.064/LogFile.txt","","",1
2016-11-02 08:07:58.356 -0400,"Success",0:00:00,0,0,0,"20161102_080758.356/LogFile.txt","","",1
2016-11-02 08:15:35.776 -0400,"Success",0:00:00,0,0,0,"20161102_081535.776/LogFile.txt","","",1
