Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-04-05 22:01:13.010 -0400,"Success",0:00:00,0,0,0,"20170405_220113.010/LogFile.txt","","",1
2017-04-05 22:01:17.860 -0400,"Success",0:00:00,0,0,0,"20170405_220117.860/LogFile.txt","","",1
2017-04-05 22:03:14.197 -0400,"Success",0:00:00,0,0,0,"20170405_220314.197/LogFile.txt","","",1
2017-04-05 22:18:16.344 -0400,"Failure",0:00:00,1,0,0,"20170405_221816.344/LogFile.txt","","STInvalidNumber -- Value is not a number: ''",0
2017-04-05 22:18:37.573 -0400,"Failure",0:00:00,1,0,0,"20170405_221837.573/LogFile.txt","","STInvalidNumber -- Value is not a number: ''",0
2017-04-05 22:18:46.199 -0400,"Failure",0:00:00,1,0,0,"20170405_221846.199/LogFile.txt","","STInvalidNumber -- Value is not a number: ''",0
2017-04-05 22:25:16.940 -0400,"Success",0:00:00,0,0,0,"20170405_222516.940/LogFile.txt","","",1
2017-04-05 22:25:26.239 -0400,"Success",0:00:00,0,0,0,"20170405_222526.239/LogFile.txt","","",1
2017-04-05 22:26:32.431 -0400,"Success",0:00:01,0,0,0,"20170405_222632.431/LogFile.txt","","",1
2017-04-05 22:26:44.967 -0400,"Success",0:00:01,0,0,0,"20170405_222644.967/LogFile.txt","","",1
2017-04-05 22:26:52.235 -0400,"Success",0:00:01,0,0,0,"20170405_222652.235/LogFile.txt","","",1
2017-04-05 22:27:32.234 -0400,"Success",0:00:01,0,0,0,"20170405_222732.234/LogFile.txt","","",1
2017-04-05 22:27:42.364 -0400,"Success",0:00:01,0,0,0,"20170405_222742.364/LogFile.txt","","",1
2017-04-05 22:29:43.078 -0400,"Success",0:00:00,0,0,0,"20170405_222943.078/LogFile.txt","","",1
2017-04-05 22:30:34.165 -0400,"Success",0:00:00,0,0,0,"20170405_223034.165/LogFile.txt","","",1
2017-04-05 22:31:23.638 -0400,"Success",0:00:01,0,0,0,"20170405_223123.638/LogFile.txt","","",1
2017-04-05 22:31:46.835 -0400,"Success",0:00:01,0,0,0,"20170405_223146.835/LogFile.txt","","",1
2017-04-05 22:32:51.389 -0400,"Success",0:00:00,0,0,0,"20170405_223251.389/LogFile.txt","","",1
2017-04-05 22:33:02.116 -0400,"Success",0:00:01,0,0,0,"20170405_223302.116/LogFile.txt","","",1
2017-04-05 22:34:08.289 -0400,"Success",0:00:01,0,0,0,"20170405_223408.289/LogFile.txt","","",1
2017-04-05 22:34:48.526 -0400,"Success",0:00:01,0,0,0,"20170405_223448.526/LogFile.txt","","",1
2017-04-05 22:35:41.543 -0400,"Success",0:00:01,0,0,0,"20170405_223541.543/LogFile.txt","","",1
2017-04-05 22:36:19.801 -0400,"Success",0:00:01,0,0,0,"20170405_223619.801/LogFile.txt","","",1
2017-04-05 22:37:02.065 -0400,"Success",0:00:01,0,0,0,"20170405_223702.065/LogFile.txt","","",1
2017-04-05 22:37:20.544 -0400,"Success",0:00:02,0,0,0,"20170405_223720.544/LogFile.txt","","",1
2017-04-05 22:38:21.930 -0400,"Success",0:00:03,0,0,0,"20170405_223821.930/LogFile.txt","","",1
2017-04-05 22:39:16.140 -0400,"Success",0:00:03,0,0,0,"20170405_223916.140/LogFile.txt","","",1
2017-04-05 22:40:59.220 -0400,"Success",0:00:06,0,0,0,"20170405_224059.220/LogFile.txt","","",1
2017-06-19 22:14:27.693 -0600,"Success",0:00:00,0,0,0,"20170619_221427.693/LogFile.txt","","",1
2017-06-19 22:14:40.269 -0600,"Success",0:00:01,0,0,0,"20170619_221440.269/LogFile.txt","","",1
2017-06-19 22:16:30.871 -0600,"Success",0:00:00,0,0,0,"20170619_221630.871/LogFile.txt","","",1
2017-06-19 22:16:42.807 -0600,"Success",0:00:00,0,0,0,"20170619_221642.807/LogFile.txt","","",1
2017-06-19 22:17:15.426 -0600,"Success",0:00:00,0,0,0,"20170619_221715.426/LogFile.txt","","",1
2017-06-19 22:17:19.466 -0600,"Success",0:00:00,0,0,0,"20170619_221719.466/LogFile.txt","","",1
2017-06-19 22:17:31.580 -0600,"Success",0:00:00,0,0,0,"20170619_221731.580/LogFile.txt","","",1
2017-06-19 22:17:51.828 -0600,"Success",0:00:00,0,0,0,"20170619_221751.828/LogFile.txt","","",1
2017-06-19 22:18:09.444 -0600,"Success",0:00:00,0,0,0,"20170619_221809.444/LogFile.txt","","",1
2017-06-19 22:18:13.384 -0600,"Success",0:00:00,0,0,0,"20170619_221813.384/LogFile.txt","","",1
2017-06-19 22:23:45.360 -0600,"Success",0:00:00,0,0,0,"20170619_222345.360/LogFile.txt","","",1
2017-06-19 22:23:52.389 -0600,"Success",0:00:00,0,0,0,"20170619_222352.389/LogFile.txt","","",1
2017-06-19 22:37:44.829 -0600,"Success",0:00:00,0,0,0,"20170619_223744.829/LogFile.txt","","",1
2017-06-19 22:37:54.422 -0600,"Success",0:00:04,0,0,0,"20170619_223754.422/LogFile.txt","","",1
