Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2021-03-03 15:07:28.257 -0700,"Success",0:00:26,0,0,0,"20210303_150728.257/LogFile.txt","","",1
2021-03-03 15:58:30.183 -0700,"Aborted",0:00:35,1,0,0,"20210303_155830.183/LogFile.txt","","",0
2021-03-03 15:59:42.180 -0700,"Aborted",0:00:32,1,0,0,"20210303_155942.180/LogFile.txt","","",0
2021-03-03 16:00:53.795 -0700,"Aborted",0:00:19,1,0,0,"20210303_160053.795/LogFile.txt","","",0
2021-03-03 16:03:32.974 -0700,"Failure",0:01:06,1,0,1,"20210303_160332.974/LogFile.txt","","File Not Found -- imagefound Error - Could Not Open Image: RSP_testagain",0
2021-03-03 16:15:24.567 -0700,"Aborted",0:00:28,1,0,0,"20210303_161524.567/LogFile.txt","","",0
2021-03-03 16:24:12.640 -0700,"Aborted",0:00:05,1,0,0,"20210303_162412.640/LogFile.txt","","",0
2021-03-03 16:25:25.323 -0700,"Aborted",0:01:43,1,0,0,"20210303_162525.323/LogFile.txt","","",0
2021-03-04 09:18:35.495 -0700,"Success",0:04:03,0,0,0,"20210304_091835.495/LogFile.txt","","",1
2021-03-04 09:30:47.762 -0700,"Aborted",0:00:05,1,0,0,"20210304_093047.762/LogFile.txt","","",0
