2019-12-09 09:31:33.636 -0700	START		Running Index.script
2019-12-09 09:31:33.799 -0700	connect		Tutorial Connection:(null)	1	on_libraries_sutconnect	Libraries/SUTConnect.script
2019-12-09 09:31:33.813 -0700	runwithnewresults		Zero.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 2/Data Driven Healthcare.suite/Results/States/Zero/20191209_093133.812/LogFile.txt)	5	on_index	Index.script
2019-12-09 09:31:34.110 -0700	Log		4	12	on_index	Index.script
2019-12-09 09:31:34.197 -0700	runwithnewresults		Login.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 2/Data Driven Healthcare.suite/Results/Libraries/Login/20191209_093134.196/LogFile.txt)	15	on_index	Index.script
2019-12-09 09:31:35.733 -0700	runwithnewresults		A.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 2/Data Driven Healthcare.suite/Results/Test/A/20191209_093135.732/LogFile.txt)	17	on_index	Index.script
2019-12-09 09:31:44.760 -0700	runwithnewresults		B.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 2/Data Driven Healthcare.suite/Results/Test/B/20191209_093144.759/LogFile.txt)	18	on_index	Index.script
2019-12-09 09:31:50.754 -0700	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 2/Data Driven Healthcare.suite/Results/Test/NewPatient/20191209_093150.753/LogFile.txt)	19	on_index	Index.script
2019-12-09 09:31:50.913 -0700	runwithnewresults		A.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 2/Data Driven Healthcare.suite/Results/Test/A/20191209_093150.912/LogFile.txt)	17	on_index	Index.script
2019-12-09 09:31:58.976 -0700	runwithnewresults		B.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 2/Data Driven Healthcare.suite/Results/Test/B/20191209_093158.975/LogFile.txt)	18	on_index	Index.script
2019-12-09 09:32:04.930 -0700	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 2/Data Driven Healthcare.suite/Results/Test/NewPatient/20191209_093204.929/LogFile.txt)	19	on_index	Index.script
2019-12-09 09:32:05.121 -0700	runwithnewresults		A.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 2/Data Driven Healthcare.suite/Results/Test/A/20191209_093205.120/LogFile.txt)	17	on_index	Index.script
2019-12-09 09:32:13.075 -0700	runwithnewresults		B.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 2/Data Driven Healthcare.suite/Results/Test/B/20191209_093213.074/LogFile.txt)	18	on_index	Index.script
2019-12-09 09:32:18.969 -0700	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 2/Data Driven Healthcare.suite/Results/Test/NewPatient/20191209_093218.968/LogFile.txt)	19	on_index	Index.script
2019-12-09 09:32:19.154 -0700	runwithnewresults		A.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 2/Data Driven Healthcare.suite/Results/Test/A/20191209_093219.153/LogFile.txt)	17	on_index	Index.script
2019-12-09 09:32:27.146 -0700	runwithnewresults		B.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 2/Data Driven Healthcare.suite/Results/Test/B/20191209_093227.145/LogFile.txt)	18	on_index	Index.script
2019-12-09 09:32:33.095 -0700	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 2/Data Driven Healthcare.suite/Results/Test/NewPatient/20191209_093233.094/LogFile.txt)	19	on_index	Index.script
2019-12-09 09:32:33.205 -0700	runwithnewresults		A.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 2/Data Driven Healthcare.suite/Results/Test/A/20191209_093233.204/LogFile.txt)	17	on_index	Index.script
