2020-04-07 12:14:00.568 -0600	START		Running Main01.script
2020-04-07 12:14:00.803 -0600	connect		Tutorial Connection:(null)	1	on_libraries_sutconnect	Libraries/SUTConnect.script
2020-04-07 12:14:00.842 -0600	runwithnewresults		Zero.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/States/Zero/20200407_121400.840/LogFile.txt)	5	on_main01	Main01.script
2020-04-07 12:14:01.113 -0600	runwithnewresults		Login.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Libraries/Login/20200407_121401.111/LogFile.txt)	13	on_main01	Main01.script
2020-04-07 12:14:02.738 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121402.736/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:02.914 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121402.913/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:03.087 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121403.086/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:03.261 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121403.260/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:03.439 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121403.438/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:03.581 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121403.580/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:03.741 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121403.740/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:03.903 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121403.902/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:04.068 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121404.067/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:04.220 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121404.219/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:04.327 -0600	runwithnewresults		Logout.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Libraries/Logout/20200407_121404.325/LogFile.txt)	19	on_main01	Main01.script
2020-04-07 12:14:04.424 -0600	runwithnewresults		Login.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Libraries/Login/20200407_121404.423/LogFile.txt)	13	on_main01	Main01.script
2020-04-07 12:14:05.462 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121405.461/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:05.628 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121405.627/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:05.790 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121405.789/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:05.962 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121405.960/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:06.143 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121406.142/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:06.316 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121406.315/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:06.521 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121406.519/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:06.709 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121406.708/LogFile.txt)	17	on_main01	Main01.script
2020-04-07 12:14:06.868 -0600	runwithnewresults		NewPatient.script (/Users/randyhesse/Documents/Simple Examples/Data Driven/Ever Evolving 3/Data Driven Healthcare.suite/Results/Test/NewPatient/20200407_121406.867/LogFile.txt)	17	on_main01	Main01.script
