Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Examples/TroubleshootingExamples/TroubleshootingExample1,Success,3,1,2017-07-03 14:00:42 -0600,2017-07-03 14:03:44 -0600,0:00:00
Libraries/Logout,Success,18,0,2017-07-11 09:16:43 -0600,2020-04-07 12:16:55 -0600,0:00:00
Examples/Help,Success,4,0,2017-07-26 12:51:06 -0600,2017-11-01 19:09:49 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample1 (No OOP),Failure,3,1,2017-07-03 14:05:23 -0600,2018-10-18 23:01:20 -0600,0:00:00
Examples/Examples/ExamplesExamplesExample4,Success,1,0,2017-07-03 14:13:46 -0600,2017-07-03 14:13:46 -0600,0:00:00
Examples/Examples/Example2,Failure,9,2,2017-07-03 14:06:54 -0600,2020-04-07 12:57:51 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample4,Success,3,0,2017-05-04 15:00:40 -0500,2017-07-03 14:04:35 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample2 (No OOP),Success,1,0,2017-07-03 14:05:28 -0600,2017-07-03 14:05:28 -0600,0:00:00
Test/B,Success,45,0,2017-11-01 18:58:21 -0600,2020-04-07 11:33:38 -0600,0:00:05
Test/NewPatient,Success,125,0,2017-11-01 18:58:26 -0600,2020-04-07 12:16:55 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample2,Success,4,0,2017-07-03 14:03:00 -0600,2017-07-03 14:04:08 -0600,0:00:00
Examples/Examples/Example4,Failure,1,1,2020-04-07 12:56:47 -0600,2020-04-07 12:56:47 -0600,0:00:00
Untitled,Success,24,3,2020-04-07 09:57:39 -0600,2020-04-07 12:56:42 -0600,0:00:00
Main02,Success,24,1,2020-04-07 11:34:13 -0600,2020-04-07 12:13:37 -0600,0:00:00
Libraries/SUTConnect,Success,4,1,2017-06-13 13:01:21 -0600,2017-06-13 13:01:55 -0600,0:00:00
Examples/Examples/Example6,Success,3,0,2017-07-03 14:14:19 -0600,2017-07-03 14:15:47 -0600,0:00:00
Modules/GlobalDefine,Success,1,0,2017-08-18 10:48:26 -0500,2017-08-18 10:48:26 -0500,0:00:00
Examples/Examples/Example1,Failure,8,3,2017-07-03 14:06:49 -0600,2020-04-07 12:58:44 -0600,0:00:00
Libraries/Login,Success,25,0,2017-04-17 12:59:56 -0600,2020-04-07 12:14:31 -0600,0:00:01
Test/A,Success,49,2,2017-11-01 18:53:12 -0600,2020-04-07 11:33:27 -0600,0:00:07
Examples/TroubleshootingExamples/TroubleshootingExample5,Success,1,0,2017-07-03 14:04:42 -0600,2017-07-03 14:04:42 -0600,0:00:00
Examples/Examples/Example3,Success,1,0,2017-07-03 14:13:38 -0600,2017-07-03 14:13:38 -0600,0:00:00
Modules/Verify,Failure,6,5,2017-07-11 09:11:52 -0600,2017-07-11 09:20:39 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample3,Success,1,0,2017-07-03 14:04:18 -0600,2017-07-03 14:04:18 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExampleA1,Success,1,0,2017-07-03 14:04:54 -0600,2017-07-03 14:04:54 -0600,0:00:00
States/Zero,Success,33,3,2017-04-17 12:59:55 -0600,2020-04-07 12:16:54 -0600,0:00:00
Main01,Failure,10,5,2017-07-03 13:59:40 -0600,2020-04-07 12:16:53 -0600,0:03:10
Notes,Success,7,0,2017-08-16 17:20:51 -0600,2017-11-01 19:12:01 -0600,0:00:00
Examples/Examples/Example5,Failure,2,1,2017-07-03 14:13:52 -0600,2020-04-07 12:56:16 -0600,0:00:00
