Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2020-04-07 09:57:39.305 -0600,"Success",0:00:00,0,0,0,"20200407_095739.305/LogFile.txt","","",1
2020-04-07 09:58:18.170 -0600,"Aborted",0:00:00,1,0,0,"20200407_095818.170/LogFile.txt","","",0
2020-04-07 09:58:36.231 -0600,"Success",0:00:00,0,0,0,"20200407_095836.231/LogFile.txt","","",1
2020-04-07 09:59:12.145 -0600,"Failure",0:00:00,1,0,0,"20200407_095912.145/LogFile.txt","","BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got 'ALL'.",0
2020-04-07 09:59:32.384 -0600,"Success",0:00:00,0,0,0,"20200407_095932.384/LogFile.txt","","",1
2020-04-07 10:00:01.031 -0600,"Success",0:00:00,0,0,0,"20200407_100001.031/LogFile.txt","","",1
2020-04-07 10:05:14.991 -0600,"Failure",0:00:00,1,0,0,"20200407_100514.991/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'getusercount'",0
2020-04-07 10:05:27.062 -0600,"Success",0:00:00,0,0,0,"20200407_100527.062/LogFile.txt","","",1
2020-04-07 10:05:32.085 -0600,"Success",0:00:00,0,0,0,"20200407_100532.085/LogFile.txt","","",1
2020-04-07 10:08:42.038 -0600,"Success",0:00:00,0,0,0,"20200407_100842.038/LogFile.txt","","",1
2020-04-07 11:23:56.209 -0600,"Success",0:00:00,0,0,0,"20200407_112356.209/LogFile.txt","","",1
2020-04-07 11:24:02.851 -0600,"Success",0:00:00,0,0,0,"20200407_112402.851/LogFile.txt","","",1
2020-04-07 11:24:08.260 -0600,"Success",0:00:00,0,0,0,"20200407_112408.260/LogFile.txt","","",1
2020-04-07 11:24:37.438 -0600,"Success",0:00:00,0,0,0,"20200407_112437.438/LogFile.txt","","",1
2020-04-07 11:25:15.390 -0600,"Success",0:00:00,0,0,0,"20200407_112515.390/LogFile.txt","","",1
2020-04-07 11:25:25.586 -0600,"Success",0:00:00,0,0,0,"20200407_112525.586/LogFile.txt","","",1
2020-04-07 11:26:05.444 -0600,"Success",0:00:00,0,0,0,"20200407_112605.444/LogFile.txt","","",1
2020-04-07 11:26:12.415 -0600,"Failure",0:00:00,1,0,0,"20200407_112612.415/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'reutrn'",0
2020-04-07 11:26:20.419 -0600,"Success",0:00:00,0,0,0,"20200407_112620.419/LogFile.txt","","",1
2020-04-07 11:26:30.783 -0600,"Success",0:00:00,0,0,0,"20200407_112630.783/LogFile.txt","","",1
2020-04-07 11:26:36.349 -0600,"Success",0:00:00,0,0,0,"20200407_112636.349/LogFile.txt","","",1
2020-04-07 11:29:32.308 -0600,"Success",0:00:00,0,0,0,"20200407_112932.308/LogFile.txt","","",1
2020-04-07 11:29:46.620 -0600,"Success",0:00:00,0,0,0,"20200407_112946.620/LogFile.txt","","",1
2020-04-07 11:33:16.251 -0600,"Success",0:00:00,0,0,0,"20200407_113316.251/LogFile.txt","","",1
2020-04-07 12:56:42.651 -0600,"Success",0:00:00,0,0,0,"20200407_125642.651/LogFile.txt","","",1
