Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Examples/TroubleshootingExamples/TroubleshootingExample1,Success,3,1,2017-07-03 14:00:42 -0600,2017-07-03 14:03:44 -0600,0:00:00
Libraries/Logout,Success,9,0,2017-07-11 09:16:43 -0600,2017-11-01 19:06:29 -0600,0:00:00
Examples/Help,Success,4,0,2017-07-26 12:51:06 -0600,2017-11-01 19:09:49 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample1 (No OOP),Success,2,0,2017-07-03 14:05:23 -0600,2017-07-26 12:23:02 -0600,0:00:00
Index,Success,4,1,2017-07-03 13:59:40 -0600,2017-11-01 18:58:11 -0600,0:05:16
Examples/Examples/Example2,Success,8,1,2017-07-03 14:06:54 -0600,2017-07-03 14:13:21 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample4,Success,3,0,2017-05-04 15:00:40 -0500,2017-07-03 14:04:35 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample2 (No OOP),Success,1,0,2017-07-03 14:05:28 -0600,2017-07-03 14:05:28 -0600,0:00:00
Test/B,Success,36,0,2017-11-01 18:58:21 -0600,2017-11-01 19:06:24 -0600,0:00:05
Test/NewPatient,Success,36,0,2017-11-01 18:58:26 -0600,2017-11-01 19:06:29 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample2,Success,4,0,2017-07-03 14:03:00 -0600,2017-07-03 14:04:08 -0600,0:00:00
Examples/Examples/Example4,Success,1,0,2017-07-03 14:13:46 -0600,2017-07-03 14:13:46 -0600,0:00:00
Libraries/SUTConnect,Success,4,1,2017-06-13 13:01:21 -0600,2017-06-13 13:01:55 -0600,0:00:00
Examples/Examples/Example6,Success,3,0,2017-07-03 14:14:19 -0600,2017-07-03 14:15:47 -0600,0:00:00
Examples/Examples/Example1,Success,5,0,2017-07-03 14:06:49 -0600,2017-07-03 14:47:08 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample5,Success,1,0,2017-07-03 14:04:42 -0600,2017-07-03 14:04:42 -0600,0:00:00
Libraries/Login,Success,16,0,2017-04-17 12:59:56 -0600,2017-11-01 19:04:25 -0600,0:00:00
Test/A,Success,39,2,2017-11-01 18:53:12 -0600,2017-11-01 19:06:16 -0600,0:00:07
Modules/GlobalDefine,Success,1,0,2017-08-18 10:48:26 -0500,2017-08-18 10:48:26 -0500,0:00:00
Examples/Examples/Example3,Success,1,0,2017-07-03 14:13:38 -0600,2017-07-03 14:13:38 -0600,0:00:00
Modules/Verify,Failure,6,5,2017-07-11 09:11:52 -0600,2017-07-11 09:20:39 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample3,Success,1,0,2017-07-03 14:04:18 -0600,2017-07-03 14:04:18 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExampleA1,Success,1,0,2017-07-03 14:04:54 -0600,2017-07-03 14:04:54 -0600,0:00:00
States/Zero,Success,13,3,2017-04-17 12:59:55 -0600,2017-11-01 19:06:30 -0600,0:00:00
Notes,Success,7,0,2017-08-16 17:20:51 -0600,2017-11-01 19:12:01 -0600,0:00:00
Examples/Examples/Example5,Success,1,0,2017-07-03 14:13:52 -0600,2017-07-03 14:13:52 -0600,0:00:00
