Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-07-11 09:11:52.106 -0600,"Failure",0:00:00,1,0,1,"20170711_091152.106/LogFile.txt","","Image Not Found -- imagefound Error - Image Property List did not contain ""ImageName"" property",0
2017-07-11 09:12:13.247 -0600,"Failure",0:00:00,1,0,1,"20170711_091213.247/LogFile.txt","","Image Not Found -- imagefound Error - Image Property List did not contain ""ImageName"" property",0
2017-07-11 09:12:32.228 -0600,"Failure",0:00:00,1,0,1,"20170711_091232.228/LogFile.txt","","Image Not Found -- imagefound Error - Image Property List did not contain ""ImageName"" property",0
2017-07-11 09:12:43.081 -0600,"Success",0:00:00,0,0,0,"20170711_091243.081/LogFile.txt","","",1
2017-07-11 09:19:34.314 -0600,"Failure",0:00:00,2,0,1,"20170711_091934.314/LogFile.txt","","Image Not Found -- imagefound Error - Image Property List did not contain ""ImageName"" property",0
2017-07-11 09:20:39.619 -0600,"Failure",0:00:00,1,0,0,"20170711_092039.619/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2018-01-16 10:49:07.583 +0530,"Failure",0:00:00,1,0,1,"20180116_104907.583/LogFile.txt","","No Remote Connection -- remotescreensize Error - Remote Connection Unavailable",0
2018-01-16 10:49:21.773 +0530,"Success",0:00:03,0,1,0,"20180116_104921.773/LogFile.txt","","",1
2018-01-16 10:49:36.260 +0530,"Success",0:00:03,0,1,0,"20180116_104936.260/LogFile.txt","","",1
2018-01-16 10:51:35.648 +0530,"Success",0:00:03,0,1,0,"20180116_105135.648/LogFile.txt","","",1
2018-01-16 10:51:47.768 +0530,"Success",0:00:03,0,1,0,"20180116_105147.768/LogFile.txt","","",1
2018-01-16 10:52:25.125 +0530,"Success",0:00:03,0,1,0,"20180116_105225.125/LogFile.txt","","",1
2018-01-16 10:59:32.533 +0530,"Failure",0:00:00,1,0,0,"20180116_105932.533/LogFile.txt","","SenseTalk Compiler Exception -- in content:\nSyntax Error at line 26: Syntax Error - can't understand ""then"" at or near character 580",0
2018-01-16 10:59:40.387 +0530,"Success",0:00:03,0,1,0,"20180116_105940.387/LogFile.txt","","",1
2018-01-16 10:59:51.601 +0530,"Success",0:00:03,0,1,0,"20180116_105951.601/LogFile.txt","","",1
2018-01-16 11:00:21.293 +0530,"Success",0:00:03,0,1,0,"20180116_110021.293/LogFile.txt","","",1
2018-01-16 11:00:37.719 +0530,"Success",0:00:03,0,1,0,"20180116_110037.719/LogFile.txt","","",1
2018-01-16 11:00:45.984 +0530,"Success",0:00:03,0,1,1,"20180116_110045.984/LogFile.txt","","",1
2018-01-16 11:01:03.458 +0530,"Success",0:00:03,0,1,0,"20180116_110103.458/LogFile.txt","","",1
2018-01-16 11:01:16.861 +0530,"Success",0:00:03,0,1,1,"20180116_110116.861/LogFile.txt","","",1
2018-01-16 11:01:27.668 +0530,"Success",0:00:04,0,1,1,"20180116_110127.668/LogFile.txt","","",1
2018-01-16 11:02:01.227 +0530,"Success",0:00:00,0,0,0,"20180116_110201.227/LogFile.txt","","",1
