Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Examples/TroubleshootingExamples/TroubleshootingExample1,Success,3,1,2017-07-03 14:00:42 -0600,2017-07-03 14:03:44 -0600,0:00:00
Libraries/Logout,Success,5,0,2017-07-11 09:16:43 -0600,2017-08-16 16:34:59 -0600,0:00:00
Examples/Help,Success,3,0,2017-07-26 12:51:06 -0600,2017-08-16 10:39:50 -0600,0:00:00
GlobalDefine,Success,1,0,2018-01-12 14:44:30 +0530,2018-01-12 14:44:30 +0530,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample1 (No OOP),Success,2,0,2017-07-03 14:05:23 -0600,2017-07-26 12:23:02 -0600,0:00:00
Index,Failure,9,8,2017-07-03 13:59:40 -0600,2018-04-04 10:11:25 -0600,0:07:30
Examples/Examples/Example2,Success,8,1,2017-07-03 14:06:54 -0600,2017-07-03 14:13:21 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample4,Success,3,0,2017-05-04 15:00:40 -0500,2017-07-03 14:04:35 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample2 (No OOP),Success,1,0,2017-07-03 14:05:28 -0600,2017-07-03 14:05:28 -0600,0:00:00
Test/B,Success,53,0,2017-07-11 09:14:58 -0600,2017-08-16 16:34:54 -0600,0:00:04
Test/NewPatient,Success,63,0,2017-07-03 14:00:30 -0600,2017-08-16 16:34:59 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample2,Success,4,0,2017-07-03 14:03:00 -0600,2017-07-03 14:04:08 -0600,0:00:00
Examples/Examples/Example4,Success,1,0,2017-07-03 14:13:46 -0600,2017-07-03 14:13:46 -0600,0:00:00
Libraries/SUTConnect,Success,4,1,2017-06-13 13:01:21 -0600,2017-06-13 13:01:55 -0600,0:00:00
TestanImage,Success,16,2,2018-01-16 11:02:35 +0530,2018-01-16 11:11:13 +0530,0:00:00
Examples/Examples/Example6,Success,3,0,2017-07-03 14:14:19 -0600,2017-07-03 14:15:47 -0600,0:00:00
Examples/Examples/Example1,Success,5,0,2017-07-03 14:06:49 -0600,2017-07-03 14:47:08 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample5,Success,1,0,2017-07-03 14:04:42 -0600,2017-07-03 14:04:42 -0600,0:00:00
Libraries/Login,Success,13,0,2017-04-17 12:59:56 -0600,2018-04-04 10:08:35 -0600,0:00:00
Test/A,Success,64,5,2017-07-03 14:00:07 -0600,2017-08-16 16:34:47 -0600,0:00:05
Examples/Examples/Example3,Success,1,0,2017-07-03 14:13:38 -0600,2017-07-03 14:13:38 -0600,0:00:00
Modules/Verify,Success,22,7,2017-07-11 09:11:52 -0600,2018-01-16 11:02:01 +0530,0:00:03
Examples/TroubleshootingExamples/TroubleshootingExample3,Success,1,0,2017-07-03 14:04:18 -0600,2017-07-03 14:04:18 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExampleA1,Success,1,0,2017-07-03 14:04:54 -0600,2017-07-03 14:04:54 -0600,0:00:00
States/Zero,Success,10,1,2017-04-17 12:59:55 -0600,2018-04-04 10:08:35 -0600,0:00:00
Notes,Failure,8,5,2017-08-16 17:20:51 -0600,2018-04-04 10:44:13 -0600,0:00:00
Examples/Examples/Example5,Success,1,0,2017-07-03 14:13:52 -0600,2017-07-03 14:13:52 -0600,0:00:00
