Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-01-16 11:02:35.309 +0530,"Success",0:00:00,0,0,0,"20180116_110235.309/LogFile.txt","","",1
2018-01-16 11:02:41.383 +0530,"Failure",0:00:00,1,0,1,"20180116_110241.383/LogFile.txt","","File Not Found -- imageinfo Error - Could Not Open Image: Test/A/Fasvorites/Favorites 01",0
2018-01-16 11:03:38.135 +0530,"Failure",0:00:00,1,0,0,"20180116_110338.135/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'imagename'",0
2018-01-16 11:05:46.695 +0530,"Success",0:00:00,0,0,1,"20180116_110546.695/LogFile.txt","","",1
2018-01-16 11:06:02.476 +0530,"Success",0:00:00,0,0,0,"20180116_110602.476/LogFile.txt","","",1
2018-01-16 11:06:17.604 +0530,"Success",0:00:00,0,0,0,"20180116_110617.604/LogFile.txt","","",1
2018-01-16 11:06:22.163 +0530,"Success",0:00:00,0,0,1,"20180116_110622.163/LogFile.txt","","",1
2018-01-16 11:07:27.908 +0530,"Success",0:00:00,0,0,1,"20180116_110727.908/LogFile.txt","","",1
2018-01-16 11:09:48.936 +0530,"Success",0:00:00,0,0,1,"20180116_110948.936/LogFile.txt","","",1
2018-01-16 11:09:53.478 +0530,"Success",0:00:00,0,0,1,"20180116_110953.478/LogFile.txt","","",1
2018-01-16 11:10:00.655 +0530,"Success",0:00:00,0,0,0,"20180116_111000.655/LogFile.txt","","",1
2018-01-16 11:10:09.170 +0530,"Success",0:00:00,0,0,1,"20180116_111009.170/LogFile.txt","","",1
2018-01-16 11:10:19.430 +0530,"Success",0:00:00,0,0,1,"20180116_111019.430/LogFile.txt","","",1
2018-01-16 11:10:29.691 +0530,"Success",0:00:00,0,0,1,"20180116_111029.691/LogFile.txt","","",1
2018-01-16 11:10:44.845 +0530,"Success",0:00:00,0,0,1,"20180116_111044.845/LogFile.txt","","",1
2018-01-16 11:11:13.686 +0530,"Success",0:00:00,0,0,1,"20180116_111113.686/LogFile.txt","","",1
