Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Examples/TroubleshootingExamples/TroubleshootingExample1,Success,3,1,2017-07-03 14:00:42 -0600,2017-07-03 14:03:44 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample1 (No OOP),Success,1,0,2017-07-03 14:05:23 -0600,2017-07-03 14:05:23 -0600,0:00:00
Index,Failure,1,1,2017-07-03 13:59:40 -0600,2017-07-03 13:59:40 -0600,0:00:00
Examples/Examples/Example2,Success,8,1,2017-07-03 14:06:54 -0600,2017-07-03 14:13:21 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample4,Success,3,0,2017-05-04 15:00:40 -0500,2017-07-03 14:04:35 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample2 (No OOP),Success,1,0,2017-07-03 14:05:28 -0600,2017-07-03 14:05:28 -0600,0:00:00
Examples/Examples/Example4,Success,1,0,2017-07-03 14:13:46 -0600,2017-07-03 14:13:46 -0600,0:00:00
Test/NewPatient,Success,10,0,2017-07-03 14:00:30 -0600,2017-07-03 14:13:53 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample2,Success,4,0,2017-07-03 14:03:00 -0600,2017-07-03 14:04:08 -0600,0:00:00
Libraries/SUTConnect,Success,4,1,2017-06-13 13:01:21 -0600,2017-06-13 13:01:55 -0600,0:00:00
Examples/Examples/Example6,Success,3,0,2017-07-03 14:14:19 -0600,2017-07-03 14:15:47 -0600,0:00:00
Examples/Examples/Example1,Success,5,0,2017-07-03 14:06:49 -0600,2017-07-03 14:47:08 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample5,Success,1,0,2017-07-03 14:04:42 -0600,2017-07-03 14:04:42 -0600,0:00:00
Libraries/Login,Success,3,0,2017-04-17 12:59:56 -0600,2017-07-03 14:00:16 -0600,0:00:01
Test/A,Failure,1,1,2017-07-03 14:00:07 -0600,2017-07-03 14:00:07 -0600,0:00:00
Examples/Examples/Example3,Success,1,0,2017-07-03 14:13:38 -0600,2017-07-03 14:13:38 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExample3,Success,1,0,2017-07-03 14:04:18 -0600,2017-07-03 14:04:18 -0600,0:00:00
Examples/TroubleshootingExamples/TroubleshootingExampleA1,Success,1,0,2017-07-03 14:04:54 -0600,2017-07-03 14:04:54 -0600,0:00:06
States/Zero,Success,3,1,2017-04-17 12:59:55 -0600,2017-07-03 14:00:16 -0600,0:00:00
Examples/Examples/Example5,Success,1,0,2017-07-03 14:13:52 -0600,2017-07-03 14:13:52 -0600,0:00:00
