Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-12-12 10:07:15.801 -0700,"Success",0:00:00,0,0,0,"20161212_100715.801/LogFile.txt","","",1
2016-12-12 10:07:16.149 -0700,"Success",0:00:00,0,0,0,"20161212_100716.149/LogFile.txt","","",1
2016-12-12 10:08:30.227 -0700,"Success",0:00:00,0,0,0,"20161212_100830.227/LogFile.txt","","",1
2016-12-12 10:08:30.801 -0700,"Success",0:00:00,0,0,0,"20161212_100830.801/LogFile.txt","","",1
2016-12-12 10:08:47.521 -0700,"Success",0:00:00,0,0,0,"20161212_100847.521/LogFile.txt","","",1
2016-12-12 10:08:48.109 -0700,"Success",0:00:00,0,0,0,"20161212_100848.109/LogFile.txt","","",1
2016-12-12 10:10:46.957 -0700,"Success",0:00:00,0,0,0,"20161212_101046.957/LogFile.txt","","",1
2016-12-12 10:10:47.561 -0700,"Success",0:00:00,0,0,0,"20161212_101047.561/LogFile.txt","","",1
2016-12-12 10:14:17.770 -0700,"Success",0:00:00,0,0,0,"20161212_101417.770/LogFile.txt","","",1
2016-12-12 10:14:18.285 -0700,"Success",0:00:00,0,0,0,"20161212_101418.285/LogFile.txt","","",1
2016-12-12 11:01:35.950 -0700,"Success",0:00:00,0,0,0,"20161212_110135.950/LogFile.txt","","",1
2016-12-12 15:19:25.516 -0800,"Failure",0:00:00,1,0,1,"20161212_151925.516/LogFile.txt","","No Remote Connection -- typetext Error - Remote Connection Unavailable",0
2016-12-12 15:20:02.416 -0800,"Success",0:00:00,0,0,0,"20161212_152002.416/LogFile.txt","","",1
2016-12-12 15:25:24.557 -0800,"Success",0:00:00,0,0,0,"20161212_152524.557/LogFile.txt","","",1
2016-12-12 15:29:10.548 -0800,"Success",0:00:00,0,0,0,"20161212_152910.548/LogFile.txt","","",1
2016-12-12 15:31:04.923 -0800,"Success",0:00:00,0,0,0,"20161212_153104.923/LogFile.txt","","",1
2016-12-12 15:32:14.108 -0800,"Success",0:00:00,0,0,0,"20161212_153214.108/LogFile.txt","","",1
2016-12-12 15:32:35.116 -0800,"Success",0:00:00,0,0,0,"20161212_153235.116/LogFile.txt","","",1
2016-12-12 15:34:22.064 -0800,"Success",0:00:00,0,0,0,"20161212_153422.064/LogFile.txt","","",1
2016-12-12 15:35:04.976 -0800,"Success",0:00:00,0,0,0,"20161212_153504.976/LogFile.txt","","",1
2016-12-12 15:36:23.491 -0800,"Success",0:00:00,0,0,0,"20161212_153623.491/LogFile.txt","","",1
2016-12-12 15:36:35.689 -0800,"Success",0:00:00,0,0,0,"20161212_153635.689/LogFile.txt","","",1
2016-12-12 15:37:21.899 -0800,"Success",0:00:00,0,0,0,"20161212_153721.899/LogFile.txt","","",1
2016-12-12 15:37:39.417 -0800,"Success",0:00:00,0,0,0,"20161212_153739.417/LogFile.txt","","",1
2016-12-12 15:41:01.899 -0800,"Success",0:00:01,0,0,0,"20161212_154101.899/LogFile.txt","","",1
2016-12-12 16:56:59.145 -0800,"Success",0:00:00,0,0,0,"20161212_165659.145/LogFile.txt","","",1
2016-12-12 16:58:40.112 -0800,"Success",0:00:00,0,0,0,"20161212_165840.112/LogFile.txt","","",1
2017-01-06 09:09:55.432 -0700,"Success",0:00:00,0,0,0,"20170106_090955.432/LogFile.txt","","",1
2017-01-06 10:22:17.989 -0700,"Success",0:00:00,0,0,0,"20170106_102217.989/LogFile.txt","","",1
2017-01-06 10:39:42.944 -0700,"Success",0:00:00,0,0,0,"20170106_103942.944/LogFile.txt","","",1
2017-01-06 10:41:55.574 -0700,"Success",0:00:00,0,0,0,"20170106_104155.574/LogFile.txt","","",1
2017-01-06 10:43:20.928 -0700,"Success",0:00:00,0,0,0,"20170106_104320.928/LogFile.txt","","",1
2017-01-06 12:56:00.618 -0700,"Success",0:00:00,0,0,0,"20170106_125600.618/LogFile.txt","","",1
2017-01-06 15:44:06.156 -0700,"Success",0:00:00,0,0,0,"20170106_154406.156/LogFile.txt","","",1
2017-01-06 15:45:22.950 -0700,"Success",0:00:00,0,0,0,"20170106_154522.950/LogFile.txt","","",1
2017-01-06 15:47:41.848 -0700,"Success",0:00:00,0,0,0,"20170106_154741.848/LogFile.txt","","",1
2017-01-06 15:49:31.081 -0700,"Success",0:00:00,0,0,0,"20170106_154931.081/LogFile.txt","","",1
2017-01-06 15:49:54.449 -0700,"Success",0:00:00,0,0,0,"20170106_154954.449/LogFile.txt","","",1
2017-01-06 15:50:34.936 -0700,"Success",0:00:00,0,0,0,"20170106_155034.936/LogFile.txt","","",1
2017-01-06 16:23:38.749 -0700,"Success",0:00:00,0,0,0,"20170106_162338.749/LogFile.txt","","",1
2017-01-06 16:25:20.968 -0700,"Success",0:00:00,0,0,0,"20170106_162520.968/LogFile.txt","","",1
2017-01-06 16:25:30.649 -0700,"Success",0:00:00,0,0,0,"20170106_162530.649/LogFile.txt","","",1
2017-01-06 16:26:31.649 -0700,"Success",0:00:00,0,0,0,"20170106_162631.649/LogFile.txt","","",1
2017-02-16 10:08:20.295 -0700,"Success",0:00:00,0,0,0,"20170216_100820.295/LogFile.txt","","",1
2017-02-16 10:33:03.482 -0700,"Success",0:00:00,0,0,0,"20170216_103303.482/LogFile.txt","","",1
2017-02-16 15:39:34.214 -0700,"Success",0:00:00,0,0,0,"20170216_153934.214/LogFile.txt","","",1
