Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-12-12 10:07:15.801 -0700,"Success",0:00:00,0,0,0,"20161212_100715.801/LogFile.txt","","",1
2016-12-12 10:07:16.149 -0700,"Success",0:00:00,0,0,0,"20161212_100716.149/LogFile.txt","","",1
2016-12-12 10:08:30.227 -0700,"Success",0:00:00,0,0,0,"20161212_100830.227/LogFile.txt","","",1
2016-12-12 10:08:30.801 -0700,"Success",0:00:00,0,0,0,"20161212_100830.801/LogFile.txt","","",1
2016-12-12 10:08:47.521 -0700,"Success",0:00:00,0,0,0,"20161212_100847.521/LogFile.txt","","",1
2016-12-12 10:08:48.109 -0700,"Success",0:00:00,0,0,0,"20161212_100848.109/LogFile.txt","","",1
2016-12-12 10:10:46.957 -0700,"Success",0:00:00,0,0,0,"20161212_101046.957/LogFile.txt","","",1
2016-12-12 10:10:47.561 -0700,"Success",0:00:00,0,0,0,"20161212_101047.561/LogFile.txt","","",1
2016-12-12 10:14:17.770 -0700,"Success",0:00:00,0,0,0,"20161212_101417.770/LogFile.txt","","",1
2016-12-12 10:14:18.285 -0700,"Success",0:00:00,0,0,0,"20161212_101418.285/LogFile.txt","","",1
2016-12-12 11:01:35.950 -0700,"Success",0:00:00,0,0,0,"20161212_110135.950/LogFile.txt","","",1
2016-12-12 15:19:25.516 -0800,"Failure",0:00:00,1,0,1,"20161212_151925.516/LogFile.txt","","No Remote Connection -- typetext Error - Remote Connection Unavailable",0
2016-12-12 15:20:02.416 -0800,"Success",0:00:00,0,0,0,"20161212_152002.416/LogFile.txt","","",1
2016-12-12 15:25:24.557 -0800,"Success",0:00:00,0,0,0,"20161212_152524.557/LogFile.txt","","",1
2016-12-12 15:29:10.548 -0800,"Success",0:00:00,0,0,0,"20161212_152910.548/LogFile.txt","","",1
2016-12-12 15:31:04.923 -0800,"Success",0:00:00,0,0,0,"20161212_153104.923/LogFile.txt","","",1
2016-12-12 15:32:14.108 -0800,"Success",0:00:00,0,0,0,"20161212_153214.108/LogFile.txt","","",1
2016-12-12 15:32:35.116 -0800,"Success",0:00:00,0,0,0,"20161212_153235.116/LogFile.txt","","",1
2016-12-12 15:34:22.064 -0800,"Success",0:00:00,0,0,0,"20161212_153422.064/LogFile.txt","","",1
2016-12-12 15:35:04.976 -0800,"Success",0:00:00,0,0,0,"20161212_153504.976/LogFile.txt","","",1
2016-12-12 15:36:23.491 -0800,"Success",0:00:00,0,0,0,"20161212_153623.491/LogFile.txt","","",1
2016-12-12 15:36:35.689 -0800,"Success",0:00:00,0,0,0,"20161212_153635.689/LogFile.txt","","",1
2016-12-12 15:37:21.899 -0800,"Success",0:00:00,0,0,0,"20161212_153721.899/LogFile.txt","","",1
2016-12-12 15:37:39.417 -0800,"Success",0:00:00,0,0,0,"20161212_153739.417/LogFile.txt","","",1
2016-12-12 15:41:01.899 -0800,"Success",0:00:01,0,0,0,"20161212_154101.899/LogFile.txt","","",1
2016-12-12 16:56:59.145 -0800,"Success",0:00:00,0,0,0,"20161212_165659.145/LogFile.txt","","",1
2016-12-12 16:58:40.112 -0800,"Success",0:00:00,0,0,0,"20161212_165840.112/LogFile.txt","","",1
