Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Libraries/Logout,Success,29,0,2015-09-11 16:09:33 -0700,2017-01-06 09:09:56 -0700,0:00:00
Index,Success,19,2,2017-01-06 09:29:22 -0700,2017-01-06 15:50:34 -0700,0:00:07
Examples/Example4,Success,2,0,2017-01-06 15:55:55 -0700,2017-01-06 15:56:14 -0700,0:00:01
Test/B,Success,19,0,2017-01-06 09:59:16 -0700,2017-01-06 10:40:16 -0700,0:00:00
Examples/Example3,Failure,6,3,2017-01-06 15:37:08 -0700,2017-01-06 15:48:12 -0700,0:00:02
Examples/Example2,Success,4,0,2017-01-06 13:16:50 -0700,2017-01-06 15:51:21 -0700,0:00:03
Test/NewPatient,Success,199,1,2015-09-11 16:09:33 -0700,2017-01-06 15:50:40 -0700,0:00:00
Examples/Example1,Success,17,3,2017-01-06 12:56:49 -0700,2017-01-06 14:23:49 -0700,0:00:00
Modules/GlobalDefine,Failure,61,7,2015-05-22 12:29:44 -0600,2017-01-06 09:12:59 -0700,0:00:02
Libraries/Login,Success,51,1,2015-09-11 16:09:32 -0700,2017-01-06 16:26:31 -0700,0:00:00
Test/A,Success,19,10,2017-01-06 09:59:16 -0700,2017-01-06 10:40:13 -0700,0:00:03
States/Zero,Success,15,0,2017-01-06 10:22:17 -0700,2017-01-06 16:26:31 -0700,0:00:00
