Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-10-19 07:51:21.543 -0600,"Success",0:00:00,0,0,0,"20161019_075121.543/LogFile.txt","","",1
2016-10-20 10:03:38.048 -0600,"Success",0:00:00,0,0,0,"20161020_100338.048/LogFile.txt","","",1
2016-10-20 10:03:47.524 -0600,"Success",0:00:00,0,0,0,"20161020_100347.524/LogFile.txt","","",1
2016-10-20 10:05:42.631 -0600,"Success",0:00:00,0,0,0,"20161020_100542.631/LogFile.txt","","",1
2016-10-20 10:05:58.834 -0600,"Success",0:00:00,0,0,0,"20161020_100558.834/LogFile.txt","","",1
2016-10-20 10:06:32.053 -0600,"Success",0:00:01,0,0,0,"20161020_100632.053/LogFile.txt","","",1
2016-10-20 10:23:54.557 -0600,"Success",0:00:00,0,0,0,"20161020_102354.557/LogFile.txt","","",1
2016-10-20 10:30:11.656 -0600,"Success",0:00:00,0,0,0,"20161020_103011.656/LogFile.txt","","",1
2016-10-20 10:30:24.612 -0600,"Success",0:00:00,0,0,0,"20161020_103024.612/LogFile.txt","","",1
2016-10-20 10:38:38.383 -0600,"Success",0:00:01,0,0,0,"20161020_103838.383/LogFile.txt","","",1
2016-10-20 10:53:06.142 -0600,"Success",0:00:00,0,0,0,"20161020_105306.142/LogFile.txt","","",1
2016-10-20 10:53:14.242 -0600,"Success",0:00:00,0,0,0,"20161020_105314.242/LogFile.txt","","",1
2016-10-20 10:53:22.188 -0600,"Success",0:00:00,0,0,0,"20161020_105322.188/LogFile.txt","","",1
2016-10-20 10:53:31.063 -0600,"Success",0:00:00,0,0,0,"20161020_105331.063/LogFile.txt","","",1
2016-10-20 10:53:52.479 -0600,"Success",0:00:00,0,0,0,"20161020_105352.479/LogFile.txt","","",1
2016-10-20 10:54:11.148 -0600,"Success",0:00:01,0,0,0,"20161020_105411.148/LogFile.txt","","",1
2016-10-21 10:16:37.501 -0600,"Success",0:00:01,0,0,0,"20161021_101637.501/LogFile.txt","","",1
