Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-07-06 11:28:17.699 -0600,"Success",0:00:00,0,0,0,"20160706_112817.699/LogFile.txt","","",1
2016-07-06 11:29:27.207 -0600,"Success",0:00:00,0,0,0,"20160706_112927.207/LogFile.txt","","",1
2016-07-06 11:29:36.180 -0600,"Success",0:00:00,0,0,0,"20160706_112936.180/LogFile.txt","","",1
2016-08-31 08:34:15.404 -0600,"Success",0:00:00,0,0,0,"20160831_083415.404/LogFile.txt","","",1
2016-08-31 08:34:25.917 -0600,"Success",0:00:00,0,0,0,"20160831_083425.917/LogFile.txt","","",1
2016-08-31 08:34:49.611 -0600,"Success",0:00:00,0,0,0,"20160831_083449.611/LogFile.txt","","",1
2016-08-31 08:34:56.565 -0600,"Success",0:00:00,0,0,0,"20160831_083456.565/LogFile.txt","","",1
2016-08-31 08:35:04.244 -0600,"Success",0:00:00,0,0,0,"20160831_083504.244/LogFile.txt","","",1
2016-08-31 08:35:34.494 -0600,"Failure",0:00:00,1,0,0,"20160831_083534.494/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'into'",0
2016-08-31 08:35:50.223 -0600,"Success",0:00:00,0,0,0,"20160831_083550.223/LogFile.txt","","",1
2016-08-31 08:36:45.024 -0600,"Success",0:00:00,0,0,0,"20160831_083645.024/LogFile.txt","","",1
2016-08-31 08:37:10.552 -0600,"Success",0:00:00,0,0,0,"20160831_083710.552/LogFile.txt","","",1
2016-08-31 08:38:52.391 -0600,"Failure",0:00:00,1,0,0,"20160831_083852.391/LogFile.txt","","STInvalidDate -- Value is not a date: '(script:return & ...'",0
2016-08-31 08:38:59.590 -0600,"Failure",0:00:02,1,0,0,"20160831_083859.590/LogFile.txt","","STMaxCallDepthExceeded -- Handlers were called to a depth exceeding the maximum limit (40). HINT: One common cause for this error is a script that has been given the same name as a built-in command or function unintentionally calling itself.",0
2016-08-31 08:41:05.122 -0600,"Failure",0:00:00,1,0,0,"20160831_084105.122/LogFile.txt","","STInvalidDate -- Value is not a date: 'wordformat'",0
2016-08-31 08:41:53.140 -0600,"Success",0:00:00,0,0,0,"20160831_084153.140/LogFile.txt","","",1
2016-08-31 08:42:37.210 -0600,"Success",0:00:00,0,0,0,"20160831_084237.210/LogFile.txt","","",1
2016-08-31 08:43:08.932 -0600,"Failure",0:00:00,1,0,0,"20160831_084308.932/LogFile.txt","","SenseTalk Compiler Exception -- in wordtime:\nWarning at line 9: Warning - Non-matching handler name: time",0
2016-08-31 08:43:22.843 -0600,"Success",0:00:00,0,0,0,"20160831_084322.843/LogFile.txt","","",1
2016-08-31 08:44:54.294 -0600,"Success",0:00:00,0,0,0,"20160831_084454.294/LogFile.txt","","",1
2016-10-14 13:03:01.182 -0600,"Success",0:00:01,0,0,0,"20161014_130301.182/LogFile.txt","","",1
2016-10-18 15:17:45.738 -0600,"Success",0:00:00,0,0,0,"20161018_151745.738/LogFile.txt","","",1
2016-10-20 10:11:46.266 -0600,"Success",0:00:01,0,0,0,"20161020_101146.266/LogFile.txt","","",1
2016-10-20 10:24:22.836 -0600,"Success",0:00:01,0,0,0,"20161020_102422.836/LogFile.txt","","",1
2016-10-20 10:24:26.585 -0600,"Success",0:00:00,0,0,0,"20161020_102426.585/LogFile.txt","","",1
2016-10-20 10:24:47.285 -0600,"Success",0:00:00,0,0,0,"20161020_102447.285/LogFile.txt","","",1
2016-10-20 10:25:07.773 -0600,"Success",0:00:00,0,0,0,"20161020_102507.773/LogFile.txt","","",1
2016-10-20 10:25:18.571 -0600,"Success",0:00:01,0,0,0,"20161020_102518.571/LogFile.txt","","",1
2016-10-20 10:25:33.019 -0600,"Success",0:00:01,0,0,0,"20161020_102533.019/LogFile.txt","","",1
