Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-11-01 09:24:09.042 -0600,"Success",0:00:00,0,0,0,"20171101_092409.042/LogFile.txt","","",1
2017-11-01 09:24:17.637 -0600,"Success",0:00:00,0,0,0,"20171101_092417.637/LogFile.txt","","",1
2017-11-01 09:25:06.661 -0600,"Success",0:00:00,0,0,0,"20171101_092506.661/LogFile.txt","","",1
2017-11-01 09:25:19.952 -0600,"Success",0:00:00,0,0,0,"20171101_092519.952/LogFile.txt","","",1
2017-11-01 09:26:26.127 -0600,"Success",0:00:00,0,0,0,"20171101_092626.127/LogFile.txt","","",1
2017-11-01 09:26:34.364 -0600,"Success",0:00:00,0,0,0,"20171101_092634.364/LogFile.txt","","",1
2017-11-01 09:27:06.163 -0600,"Success",0:00:00,0,0,0,"20171101_092706.163/LogFile.txt","","",1
2017-11-01 09:27:19.088 -0600,"Success",0:00:00,0,0,0,"20171101_092719.088/LogFile.txt","","",1
2017-11-01 09:27:57.745 -0600,"Success",0:00:00,0,0,0,"20171101_092757.745/LogFile.txt","","",1
2017-11-01 09:29:15.077 -0600,"Success",0:00:00,0,0,0,"20171101_092915.077/LogFile.txt","","",1
