Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-07-17 21:45:48.597 -0400,"Success",0:00:00,0,0,0,"20170717_214548.597/LogFile.txt","","",1
2017-07-17 21:46:16.995 -0400,"Success",0:00:00,0,0,0,"20170717_214616.995/LogFile.txt","","",1
2017-07-17 21:52:03.169 -0400,"Success",0:00:00,0,0,0,"20170717_215203.169/LogFile.txt","","",1
2017-07-17 21:52:23.948 -0400,"Success",0:00:00,0,0,0,"20170717_215223.948/LogFile.txt","","",1
2017-07-17 21:52:52.454 -0400,"Success",0:00:00,0,0,0,"20170717_215252.454/LogFile.txt","","",1
2017-07-17 22:08:45.210 -0400,"Success",0:00:00,0,0,0,"20170717_220845.210/LogFile.txt","","",1
2017-07-17 22:40:40.389 -0400,"Success",0:00:00,0,0,0,"20170717_224040.389/LogFile.txt","","",1
2017-07-17 22:57:38.615 -0400,"Success",0:00:00,0,0,0,"20170717_225738.615/LogFile.txt","","",1
2017-07-17 22:58:31.709 -0400,"Success",0:00:00,0,0,0,"20170717_225831.709/LogFile.txt","","",1
2017-07-17 22:58:38.690 -0400,"Success",0:00:00,0,0,0,"20170717_225838.690/LogFile.txt","","",1
2017-07-17 22:58:42.840 -0400,"Success",0:00:00,0,0,0,"20170717_225842.840/LogFile.txt","","",1
2017-07-17 22:58:56.389 -0400,"Success",0:00:00,0,0,0,"20170717_225856.389/LogFile.txt","","",1
2017-07-17 22:59:03.508 -0400,"Success",0:00:00,0,0,0,"20170717_225903.508/LogFile.txt","","",1
2017-07-17 22:59:22.145 -0400,"Failure",0:00:00,1,0,0,"20170717_225922.145/LogFile.txt","","SenseTalk Compiler Exception -- in runscriptencrypt:\nSyntax Error at line 8: Syntax Error - can't understand ""DecodeText"" at or near character 155",0
2017-07-17 22:59:30.087 -0400,"Success",0:00:00,0,0,0,"20170717_225930.087/LogFile.txt","","",1
2017-07-17 22:59:47.385 -0400,"Success",0:00:00,0,0,0,"20170717_225947.385/LogFile.txt","","",1
2017-07-18 21:39:53.229 -0400,"Success",0:00:00,0,0,0,"20170718_213953.229/LogFile.txt","","",1
2017-07-18 21:40:18.968 -0400,"Success",0:00:00,0,0,0,"20170718_214018.968/LogFile.txt","","",1
2017-07-18 21:40:45.389 -0400,"Success",0:00:00,0,0,0,"20170718_214045.389/LogFile.txt","","",1
2017-07-18 21:41:36.014 -0400,"Success",0:00:00,0,0,0,"20170718_214136.014/LogFile.txt","","",1
2017-07-18 21:42:03.837 -0400,"Success",0:00:00,0,0,0,"20170718_214203.837/LogFile.txt","","",1
2017-07-18 21:42:24.398 -0400,"Success",0:00:00,0,0,0,"20170718_214224.398/LogFile.txt","","",1
2017-07-18 21:52:12.716 -0400,"Failure",0:00:00,1,0,0,"20170718_215212.716/LogFile.txt","","InvalidCommandOrRange -- Not a valid command, or incorrect types given for a range (not numbers, date/times, or characters)",0
2017-07-18 21:52:41.392 -0400,"Failure",0:00:00,1,0,0,"20170718_215241.392/LogFile.txt","","STFileException -- Attempt to access unopened file: /Users/randyhesse/Documents/Simple Examples/Encrypt.suite/Scripts/EncryptedWorkflow.script",0
2017-07-18 21:54:51.522 -0400,"Failure",0:00:00,1,0,0,"20170718_215451.522/LogFile.txt","","InvalidCommandOrRange -- Not a valid command, or incorrect types given for a range (not numbers, date/times, or characters)",0
2017-07-18 21:55:13.783 -0400,"Success",0:00:04,0,0,0,"20170718_215513.783/LogFile.txt","","",1
