Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-08-26 16:30:31.391 -0600,"Failure",0:00:00,1,0,0,"20170826_163031.391/LogFile.txt","","Workbook Error -- Worksheet Results doesn't exist",0
2017-08-26 16:30:58.133 -0600,"Failure",0:00:00,1,0,0,"20170826_163058.133/LogFile.txt","","Workbook Error -- Worksheet Results doesn't exist",0
2017-08-26 16:31:23.173 -0600,"Success",0:00:00,0,0,0,"20170826_163123.173/LogFile.txt","","",1
2017-08-26 16:31:46.898 -0600,"Success",0:00:00,0,0,0,"20170826_163146.898/LogFile.txt","","",1
2018-10-10 15:53:51.169 -0400,"Success",0:00:00,0,0,0,"20181010_155351.169/LogFile.txt","","",1
2018-10-10 15:54:54.435 -0400,"Success",0:00:00,0,0,0,"20181010_155454.435/LogFile.txt","","",1
2018-10-10 15:58:32.089 -0400,"Failure",0:00:00,1,0,0,"20181010_155832.089/LogFile.txt","","Cell Error -- Cell identifier must be either two positive numbers (row, column) or a letter-number identifier (like ""C6""). Got (B,2)",0
2018-10-10 15:58:41.811 -0400,"Success",0:00:00,0,0,0,"20181010_155841.811/LogFile.txt","","",1
2018-10-10 15:58:59.305 -0400,"Success",0:00:00,0,0,0,"20181010_155859.305/LogFile.txt","","",1
2018-10-10 15:59:03.024 -0400,"Success",0:00:00,0,0,0,"20181010_155903.024/LogFile.txt","","",1
2018-10-10 15:59:12.830 -0400,"Success",0:00:00,0,0,0,"20181010_155912.830/LogFile.txt","","",1
2018-10-10 16:00:30.978 -0400,"Success",0:00:00,0,0,0,"20181010_160030.978/LogFile.txt","","",1
2018-10-10 16:00:46.337 -0400,"Success",0:00:00,0,0,0,"20181010_160046.337/LogFile.txt","","",1
2018-10-10 16:01:03.903 -0400,"Success",0:00:00,0,0,0,"20181010_160103.903/LogFile.txt","","",1
2018-10-10 16:02:03.191 -0400,"Success",0:00:02,0,0,0,"20181010_160203.191/LogFile.txt","","",1
2018-10-10 16:02:35.109 -0400,"Success",0:00:02,0,0,0,"20181010_160235.109/LogFile.txt","","",1
