Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-04-12 09:48:45.379 -0600,"Success",0:00:00,0,0,0,"20170412_094845.379/LogFile.txt","","",1
2017-04-12 09:48:59.164 -0600,"Success",0:00:00,0,0,0,"20170412_094859.164/LogFile.txt","","",1
2017-04-12 09:49:57.588 -0600,"Failure",0:00:00,1,0,0,"20170412_094957.588/LogFile.txt","","Worksheet Error -- CellRange() requires a worksheet to read from (got: (null))",0
2017-04-12 09:50:06.561 -0600,"Success",0:00:00,0,0,0,"20170412_095006.561/LogFile.txt","","",1
2017-04-12 09:50:13.340 -0600,"Success",0:00:00,0,0,0,"20170412_095013.340/LogFile.txt","","",1
2017-04-12 09:50:19.726 -0600,"Success",0:00:00,0,0,0,"20170412_095019.726/LogFile.txt","","",1
2017-04-12 10:04:25.585 -0600,"Success",0:00:00,0,0,0,"20170412_100425.585/LogFile.txt","","",1
2017-04-12 10:07:48.552 -0600,"Success",0:00:00,0,0,0,"20170412_100748.552/LogFile.txt","","",1
2017-04-12 10:08:01.328 -0600,"Success",0:00:00,0,0,0,"20170412_100801.328/LogFile.txt","","",1
2017-04-12 10:08:08.645 -0600,"Success",0:00:00,0,0,0,"20170412_100808.645/LogFile.txt","","",1
2017-04-12 10:08:26.673 -0600,"Success",0:00:00,0,0,0,"20170412_100826.673/LogFile.txt","","",1
2017-04-12 10:09:55.293 -0600,"Failure",0:00:00,1,0,0,"20170412_100955.293/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'property'",0
2017-04-12 10:18:10.602 -0600,"Success",0:00:00,0,0,0,"20170412_101810.602/LogFile.txt","","",1
2017-04-12 10:18:40.612 -0600,"Success",0:00:00,0,0,0,"20170412_101840.612/LogFile.txt","","",1
2017-04-12 10:19:16.837 -0600,"Success",0:00:00,0,0,0,"20170412_101916.837/LogFile.txt","","",1
2017-04-12 10:23:22.660 -0600,"Failure",0:00:00,1,0,0,"20170412_102322.660/LogFile.txt","","STInvalidParameters -- Function workbook should be called with one parameter",0
2017-04-12 10:24:54.065 -0600,"Success",0:00:00,0,0,0,"20170412_102454.065/LogFile.txt","","",1
2017-04-12 10:25:20.929 -0600,"Success",0:00:00,0,0,0,"20170412_102520.929/LogFile.txt","","",1
2017-04-12 10:25:49.007 -0600,"Success",0:00:00,0,0,0,"20170412_102549.007/LogFile.txt","","",1
2017-04-12 10:26:12.431 -0600,"Success",0:00:00,0,0,0,"20170412_102612.431/LogFile.txt","","",1
2017-04-12 10:26:27.340 -0600,"Success",0:00:00,0,0,0,"20170412_102627.340/LogFile.txt","","",1
2017-04-12 10:26:34.000 -0600,"Success",0:00:00,0,0,0,"20170412_102634.000/LogFile.txt","","",1
2017-04-12 10:29:29.282 -0600,"Success",0:00:00,0,0,0,"20170412_102929.282/LogFile.txt","","",1
2017-04-12 10:32:36.464 -0600,"Success",0:00:00,0,0,0,"20170412_103236.464/LogFile.txt","","",1
2017-04-25 08:56:11.135 -0600,"Success",0:00:00,0,0,0,"20170425_085611.135/LogFile.txt","","",1
