Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-04-12 10:22:14.960 -0600,"Failure",0:00:00,1,0,0,"20170412_102214.960/LogFile.txt","","Workbook Error -- Error loading workbook /Users/randyhesse/Desktop/Excel.suite/Resources/TestCustomerList.xlsx: No such file or directory.",0
2017-04-12 10:22:47.363 -0600,"Success",0:00:00,0,0,0,"20170412_102247.363/LogFile.txt","","",1
2017-04-12 10:33:16.050 -0600,"Failure",0:00:00,1,0,0,"20170412_103316.050/LogFile.txt","","STIncompatibleValue -- Class STWorkbookValue can't become a string value",0
2017-04-12 10:33:45.624 -0600,"Success",0:00:02,0,0,0,"20170412_103345.624/LogFile.txt","","",1
2017-04-12 10:33:55.799 -0600,"Failure",0:00:00,1,0,0,"20170412_103355.799/LogFile.txt","","Worksheet Error -- CellRange() requires a worksheet to read from (got: (null))",0
2017-04-12 10:34:04.501 -0600,"Failure",0:00:00,1,0,0,"20170412_103404.501/LogFile.txt","","Worksheet Error -- CellRange() requires a worksheet to read from (got: (null))",0
2017-04-12 10:34:35.735 -0600,"Success",0:00:02,0,0,0,"20170412_103435.735/LogFile.txt","","",1
2017-04-12 10:34:44.972 -0600,"Success",0:00:02,0,0,0,"20170412_103444.972/LogFile.txt","","",1
2017-04-12 10:34:59.993 -0600,"Success",0:00:04,0,0,0,"20170412_103459.993/LogFile.txt","","",1
2017-04-12 10:35:57.208 -0600,"Success",0:00:04,0,0,0,"20170412_103557.208/LogFile.txt","","",1
2017-04-12 10:36:10.733 -0600,"Success",0:00:04,0,0,0,"20170412_103610.733/LogFile.txt","","",1
2017-04-12 10:37:19.254 -0600,"Success",0:00:04,0,0,0,"20170412_103719.254/LogFile.txt","","",1
2017-04-12 10:38:51.218 -0600,"Success",0:00:02,0,0,0,"20170412_103851.218/LogFile.txt","","",1
2017-04-12 10:45:43.611 -0600,"Success",0:00:04,0,0,0,"20170412_104543.611/LogFile.txt","","",1
2017-04-12 10:47:05.211 -0600,"Success",0:00:02,0,0,0,"20170412_104705.211/LogFile.txt","","",1
2017-04-12 10:47:08.403 -0600,"Success",0:00:02,0,0,0,"20170412_104708.403/LogFile.txt","","",1
2017-04-12 10:47:11.192 -0600,"Success",0:00:02,0,0,0,"20170412_104711.192/LogFile.txt","","",1
2017-04-12 10:47:19.642 -0600,"Success",0:00:02,0,0,0,"20170412_104719.642/LogFile.txt","","",1
2017-04-12 10:47:22.599 -0600,"Success",0:00:02,0,0,0,"20170412_104722.599/LogFile.txt","","",1
2017-04-12 10:47:40.623 -0600,"Success",0:00:03,0,0,0,"20170412_104740.623/LogFile.txt","","",1
2017-04-12 10:48:03.167 -0600,"Success",0:00:03,0,0,0,"20170412_104803.167/LogFile.txt","","",1
2017-04-12 10:48:26.843 -0600,"Success",0:00:03,0,0,0,"20170412_104826.843/LogFile.txt","","",1
2017-04-12 10:48:43.547 -0600,"Success",0:00:03,0,0,0,"20170412_104843.547/LogFile.txt","","",1
2017-04-12 10:48:49.272 -0600,"Success",0:00:03,0,0,0,"20170412_104849.272/LogFile.txt","","",1
2017-04-12 10:48:55.149 -0600,"Success",0:00:03,0,0,0,"20170412_104855.149/LogFile.txt","","",1
2017-04-12 10:49:53.337 -0600,"Success",0:00:03,0,0,0,"20170412_104953.337/LogFile.txt","","",1
2017-04-12 10:50:32.932 -0600,"Success",0:00:03,0,0,0,"20170412_105032.932/LogFile.txt","","",1
2017-05-22 09:09:49.670 -0600,"Success",0:00:00,0,0,0,"20170522_090949.670/LogFile.txt","","",1
