Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-09-14 21:13:48.789 -0400,"Failure",0:00:00,1,0,0,"20160914_211348.789/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'module1'",0
2016-09-14 21:14:04.214 -0400,"Failure",0:00:00,1,0,0,"20160914_211404.214/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got '/Users/randyhesse/Documents/Simple Examples/Helper2.suite/Scripts/Module1/Foo'.",0
2016-09-14 21:14:10.922 -0400,"Failure",0:00:00,1,0,0,"20160914_211410.922/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'foo'",0
2016-09-14 21:16:51.657 -0400,"Failure",0:00:00,1,0,0,"20160914_211651.657/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'foo'",0
2016-09-14 21:17:01.434 -0400,"Success",0:00:00,0,0,0,"20160914_211701.434/LogFile.txt","","",1
2016-09-14 21:17:29.181 -0400,"Failure",0:00:00,1,0,0,"20160914_211729.181/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'foo'",0
2016-09-14 21:17:52.788 -0400,"Failure",0:00:00,1,0,0,"20160914_211752.788/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'foo'",0
2016-09-14 21:18:11.744 -0400,"Success",0:00:00,0,0,0,"20160914_211811.744/LogFile.txt","","",1
2016-09-14 21:21:26.279 -0400,"Success",0:00:00,0,0,0,"20160914_212126.279/LogFile.txt","","",1
2016-09-14 21:21:58.478 -0400,"Success",0:00:00,0,0,0,"20160914_212158.478/LogFile.txt","","",1
2016-11-02 10:09:41.337 -0400,"Success",0:00:00,0,0,0,"20161102_100941.337/LogFile.txt","","",1
