Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-04-06 09:49:10.982 -0600,"Success",0:00:00,0,0,0,"20180406_094910.982/LogFile.txt","","",1
2018-04-06 09:49:32.901 -0600,"Success",0:00:00,0,0,0,"20180406_094932.901/LogFile.txt","","",1
2018-04-06 09:49:49.961 -0600,"Success",0:00:00,0,0,0,"20180406_094949.961/LogFile.txt","","",1
2018-04-06 09:50:20.078 -0600,"Success",0:00:00,0,0,0,"20180406_095020.078/LogFile.txt","","",1
2018-04-06 09:50:33.431 -0600,"Success",0:00:00,0,0,0,"20180406_095033.431/LogFile.txt","","",1
2018-04-06 09:50:51.110 -0600,"Success",0:00:00,0,0,0,"20180406_095051.110/LogFile.txt","","",1
2018-04-06 09:50:59.653 -0600,"Success",0:00:00,0,0,0,"20180406_095059.653/LogFile.txt","","",1
2018-04-06 09:51:06.358 -0600,"Success",0:00:00,0,0,0,"20180406_095106.358/LogFile.txt","","",1
2018-04-06 09:51:19.167 -0600,"Success",0:00:00,0,0,0,"20180406_095119.167/LogFile.txt","","",1
2018-04-06 09:51:54.613 -0600,"Success",0:00:00,0,0,0,"20180406_095154.613/LogFile.txt","","",1
2018-04-06 09:52:19.023 -0600,"Success",0:00:00,0,0,0,"20180406_095219.023/LogFile.txt","","",1
2018-04-06 09:52:24.133 -0600,"Success",0:00:00,0,0,0,"20180406_095224.133/LogFile.txt","","",1
2018-04-06 09:52:48.562 -0600,"Success",0:00:00,0,0,0,"20180406_095248.562/LogFile.txt","","",1
2018-04-06 09:53:01.058 -0600,"Success",0:00:00,0,0,0,"20180406_095301.058/LogFile.txt","","",1
2018-04-06 09:53:09.812 -0600,"Success",0:00:00,0,0,0,"20180406_095309.812/LogFile.txt","","",1
2018-04-06 09:53:15.829 -0600,"Success",0:00:00,0,0,0,"20180406_095315.829/LogFile.txt","","",1
2018-04-06 09:53:59.678 -0600,"Success",0:00:00,0,0,0,"20180406_095359.678/LogFile.txt","","",1
2018-04-06 09:54:05.520 -0600,"Success",0:00:00,0,0,0,"20180406_095405.520/LogFile.txt","","",1
2018-04-06 09:54:09.768 -0600,"Failure",0:00:00,1,0,0,"20180406_095409.768/LogFile.txt","","SenseTalk Compiler Exception -- in getsut:\nSyntax Error at line 9: Syntax Error - can't understand [end of line] at or near character 189",0
2018-04-06 09:54:14.064 -0600,"Success",0:00:00,0,0,0,"20180406_095414.064/LogFile.txt","","",1
2018-04-06 09:54:32.712 -0600,"Success",0:00:00,0,0,0,"20180406_095432.712/LogFile.txt","","",1
2018-04-06 09:54:37.752 -0600,"Success",0:00:00,0,0,0,"20180406_095437.752/LogFile.txt","","",1
2018-04-06 09:54:43.997 -0600,"Success",0:00:00,0,0,0,"20180406_095443.997/LogFile.txt","","",1
2018-04-06 09:55:03.129 -0600,"Success",0:00:00,0,0,0,"20180406_095503.129/LogFile.txt","","",1
2018-04-06 09:55:12.840 -0600,"Success",0:00:00,0,0,0,"20180406_095512.840/LogFile.txt","","",1
2018-04-06 09:57:15.455 -0600,"Success",0:00:00,0,0,0,"20180406_095715.455/LogFile.txt","","",1
2018-04-06 09:57:36.372 -0600,"Success",0:00:00,0,0,0,"20180406_095736.372/LogFile.txt","","",1
2018-04-06 09:58:23.591 -0600,"Success",0:00:00,0,0,0,"20180406_095823.591/LogFile.txt","","",1
2018-04-06 09:58:41.402 -0600,"Success",0:00:00,0,0,0,"20180406_095841.402/LogFile.txt","","",1
2018-04-06 10:02:02.074 -0600,"Success",0:00:00,0,0,0,"20180406_100202.074/LogFile.txt","","",1
2018-04-06 10:02:09.527 -0600,"Success",0:00:00,0,0,0,"20180406_100209.527/LogFile.txt","","",1
2018-04-06 10:02:31.496 -0600,"Success",0:00:00,0,0,0,"20180406_100231.496/LogFile.txt","","",1
