Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-06-26 16:01:14.953 -0600,"Success",0:00:00,0,0,0,"20170626_160114.953/LogFile.txt","","",1
2017-06-26 16:01:38.524 -0600,"Success",0:00:00,0,0,0,"20170626_160138.524/LogFile.txt","","",1
2017-06-26 16:01:47.116 -0600,"Success",0:00:00,0,0,0,"20170626_160147.116/LogFile.txt","","",1
2017-06-26 16:02:49.032 -0600,"Failure",0:00:00,1,0,0,"20170626_160249.032/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'windows 10'",0
2017-06-26 16:02:58.977 -0600,"Success",0:00:00,0,0,0,"20170626_160258.977/LogFile.txt","","",1
2017-06-26 16:04:11.913 -0600,"Failure",0:00:00,1,0,0,"20170626_160411.913/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'name'",0
2017-06-26 16:04:24.486 -0600,"Success",0:00:00,0,0,0,"20170626_160424.486/LogFile.txt","","",1
2017-06-26 16:04:39.427 -0600,"Success",0:00:00,0,0,0,"20170626_160439.427/LogFile.txt","","",1
2017-06-26 16:04:57.845 -0600,"Success",0:00:00,0,0,0,"20170626_160457.845/LogFile.txt","","",1
2017-06-27 08:43:01.575 -0600,"Success",0:00:00,0,0,0,"20170627_084301.575/LogFile.txt","","",1
2017-06-27 08:45:20.008 -0600,"Success",0:00:00,0,0,0,"20170627_084520.008/LogFile.txt","","",1
2017-06-27 08:45:35.895 -0600,"Success",0:00:00,0,0,0,"20170627_084535.895/LogFile.txt","","",1
2017-07-03 14:16:36.196 -0600,"Success",0:00:00,0,0,0,"20170703_141636.196/LogFile.txt","","",1
2017-07-03 14:17:40.266 -0600,"Success",0:00:00,0,0,0,"20170703_141740.266/LogFile.txt","","",1
2017-07-03 14:19:23.121 -0600,"Success",0:00:00,0,0,0,"20170703_141923.121/LogFile.txt","","",1
2017-07-03 14:19:33.165 -0600,"Success",0:00:00,0,0,0,"20170703_141933.165/LogFile.txt","","",1
