Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-06-05 23:16:42.763 -0500,"Failure",0:00:10,1,0,2,"20180605_231642.763/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Chrome""",0
2018-06-05 23:21:24.804 -0500,"Success",0:00:00,0,0,0,"20180605_232124.804/LogFile.txt","","",1
2018-06-05 23:21:30.709 -0500,"Success",0:00:01,0,0,0,"20180605_232130.709/LogFile.txt","","",1
2018-06-05 23:21:52.341 -0500,"Success",0:00:00,0,0,0,"20180605_232152.341/LogFile.txt","","",1
2018-06-05 23:21:54.083 -0500,"Running",0:00:00,0,0,0,"20180605_232154.083/LogFile.txt","","",0
2018-06-05 23:22:03.399 -0500,"Success",0:00:01,0,0,0,"20180605_232203.399/LogFile.txt","","",1
2018-06-06 08:20:11.524 -0500,"Success",0:00:00,0,0,0,"20180606_082011.524/LogFile.txt","","",1
2018-06-06 08:20:59.786 -0500,"Success",0:00:01,0,0,0,"20180606_082059.786/LogFile.txt","","",1
2018-06-06 15:32:57.949 -0500,"Failure",0:00:10,1,0,2,"20180606_153257.949/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Chrome""",0
2018-06-06 15:34:26.254 -0500,"Failure",0:00:10,1,0,2,"20180606_153426.254/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Chrome""",0
2018-06-06 15:35:01.751 -0500,"Failure",0:00:09,1,0,2,"20180606_153501.751/LogFile.txt","","File Not Found -- imageinfo Error - Could Not Open Image:  ""Chrome""",0
2018-06-06 15:35:59.114 -0500,"Failure",0:00:09,1,0,2,"20180606_153559.114/LogFile.txt","","File Not Found -- imageinfo Error - Could Not Open Image:  ""Chrome""",0
2018-06-06 15:36:50.206 -0500,"Failure",0:00:09,1,0,2,"20180606_153650.206/LogFile.txt","","File Not Found -- imageinfo Error - Could Not Open Image: ""Chrome""",0
2018-06-06 15:37:17.648 -0500,"Failure",0:00:09,1,0,2,"20180606_153717.648/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Chrome""",0
2018-06-06 15:38:12.761 -0500,"Failure",0:00:09,1,0,2,"20180606_153812.761/LogFile.txt","","File Not Found -- imagefound Error - Could Not Open Image: ""Chrome""",0
2018-06-06 15:40:59.351 -0500,"Failure",0:00:10,1,0,2,"20180606_154059.351/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Chrome""",0
2018-06-06 15:41:57.984 -0500,"Failure",0:00:09,1,0,2,"20180606_154157.984/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Chrome""",0
2018-06-06 15:43:11.080 -0500,"Failure",0:00:09,1,0,2,"20180606_154311.080/LogFile.txt","","File Not Found -- imageinfo Error - Could Not Open Image: ""Chrome""",0
2018-06-06 15:44:27.586 -0500,"Failure",0:00:09,1,0,2,"20180606_154427.586/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Chrome""",0
2018-06-06 15:45:02.866 -0500,"Success",0:00:01,0,0,0,"20180606_154502.866/LogFile.txt","","",1
2018-06-06 15:45:06.063 -0500,"Failure",0:00:09,1,0,2,"20180606_154506.063/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Chrome""",0
2018-06-06 15:48:49.366 -0500,"Failure",0:00:09,1,0,2,"20180606_154849.366/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Chrome""",0
2018-06-06 15:49:47.409 -0500,"Failure",0:00:10,1,0,2,"20180606_154947.409/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Chrome""",0
2018-06-06 15:53:24.475 -0500,"Failure",0:00:10,1,0,1,"20180606_155324.475/LogFile.txt","","Error Running Script Command -- capturescreen Error - Error Computing Rectangle: (\n    1001,\n    615,\n    1048,\n    662\n)",0
2018-06-06 21:32:50.458 -0500,"Success",0:00:01,0,0,0,"20180606_213250.458/LogFile.txt","","",1
2018-06-06 21:33:16.705 -0500,"Failure",0:00:11,1,1,2,"20180606_213316.705/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Chrome""",0
2018-06-06 21:37:46.367 -0500,"Failure",0:00:09,1,0,2,"20180606_213746.367/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Chrome""",0
2018-06-06 21:38:55.946 -0500,"Failure",0:00:09,1,0,2,"20180606_213855.946/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Chrome""",0
2018-06-06 21:41:12.292 -0500,"Failure",0:00:08,1,0,1,"20180606_214112.292/LogFile.txt","","STInvalidNumber -- Value is not a number: '""'",0
2018-06-06 21:41:56.859 -0500,"Failure",0:00:08,1,0,2,"20180606_214156.859/LogFile.txt","","File Not Found -- imageinfo Error - Could Not Open Image: ""Chrome""",0
2018-06-06 21:44:09.534 -0500,"Success",0:00:07,0,1,0,"20180606_214409.534/LogFile.txt","","",1
2018-06-06 21:46:16.402 -0500,"Success",0:00:01,0,0,0,"20180606_214616.402/LogFile.txt","","",1
2018-06-06 21:46:18.851 -0500,"Success",0:00:07,0,1,0,"20180606_214618.851/LogFile.txt","","",1
2018-06-06 21:46:28.985 -0500,"Success",0:00:07,0,1,0,"20180606_214628.985/LogFile.txt","","",1
2018-06-06 21:46:42.904 -0500,"Success",0:00:00,0,0,0,"20180606_214642.904/LogFile.txt","","",1
2018-06-06 21:46:50.152 -0500,"Success",0:00:01,0,0,0,"20180606_214650.152/LogFile.txt","","",1
2018-06-06 21:47:05.914 -0500,"Success",0:00:01,0,0,0,"20180606_214705.914/LogFile.txt","","",1
2018-06-06 21:47:09.401 -0500,"Failure",0:00:08,1,0,1,"20180606_214709.401/LogFile.txt","","STInvalidNumber -- Value is not a number: '""'",0
2018-06-06 21:47:33.397 -0500,"Failure",0:00:09,1,0,2,"20180606_214733.397/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Chrome""",0
2018-06-06 21:56:06.154 -0500,"Failure",0:00:09,1,0,2,"20180606_215606.154/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Chrome""",0
2018-06-06 21:56:52.514 -0500,"Success",0:00:00,0,0,0,"20180606_215652.514/LogFile.txt","","",1
