Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-12-08 08:57:03.770 -0500,"Success",0:00:02,0,0,0,"20161208_085703.770/LogFile.txt","","",1
2016-12-08 08:57:39.628 -0500,"Running",0:00:00,0,0,0,"20161208_085739.628/LogFile.txt","","",0
2016-12-08 08:57:48.338 -0500,"Success",0:00:02,0,0,0,"20161208_085748.338/LogFile.txt","","",1
2016-12-08 08:58:14.303 -0500,"Success",0:00:02,0,0,0,"20161208_085814.303/LogFile.txt","","",1
2016-12-08 09:00:20.719 -0500,"Success",0:00:02,0,0,0,"20161208_090020.719/LogFile.txt","","",1
2016-12-08 09:01:21.616 -0500,"Success",0:00:02,0,0,0,"20161208_090121.616/LogFile.txt","","",1
2016-12-08 09:01:31.441 -0500,"Success",0:00:02,0,0,0,"20161208_090131.441/LogFile.txt","","",1
2016-12-08 09:01:38.015 -0500,"Success",0:00:02,0,0,0,"20161208_090138.015/LogFile.txt","","",1
2016-12-08 09:02:10.182 -0500,"Success",0:00:02,0,0,0,"20161208_090210.182/LogFile.txt","","",1
2016-12-08 09:03:23.118 -0500,"Success",0:00:02,0,0,0,"20161208_090323.118/LogFile.txt","","",1
2016-12-08 09:04:06.468 -0500,"Success",0:00:04,0,0,0,"20161208_090406.468/LogFile.txt","","",1
2016-12-08 09:08:37.384 -0500,"Failure",0:00:02,1,0,1,"20161208_090837.384/LogFile.txt","","File Not Found -- readtext Error - Could Not Open Image: point1",0
2016-12-08 09:08:43.480 -0500,"Failure",0:00:02,1,0,1,"20161208_090843.480/LogFile.txt","","File Not Found -- readtext Error - Could Not Open Image: point1",0
2016-12-08 09:08:58.242 -0500,"Success",0:00:03,0,0,0,"20161208_090858.242/LogFile.txt","","",1
2016-12-08 09:09:54.023 -0500,"Success",0:00:04,0,0,0,"20161208_090954.023/LogFile.txt","","",1
2016-12-08 09:10:12.118 -0500,"Success",0:00:04,0,0,0,"20161208_091012.118/LogFile.txt","","",1
2016-12-08 09:10:28.257 -0500,"Success",0:00:04,0,0,0,"20161208_091028.257/LogFile.txt","","",1
2016-12-08 09:11:38.993 -0500,"Success",0:00:04,0,0,0,"20161208_091138.993/LogFile.txt","","",1
2016-12-08 09:12:14.846 -0500,"Success",0:00:04,0,0,0,"20161208_091214.846/LogFile.txt","","",1
2016-12-08 09:17:14.036 -0500,"Success",0:00:23,0,0,0,"20161208_091714.036/LogFile.txt","","",1
2016-12-08 09:32:42.812 -0500,"Success",0:00:00,0,0,0,"20161208_093242.812/LogFile.txt","","",1
2016-12-08 09:34:51.132 -0500,"Success",0:00:00,0,0,0,"20161208_093451.132/LogFile.txt","","",1
2016-12-08 09:35:04.376 -0500,"Success",0:00:00,0,0,0,"20161208_093504.376/LogFile.txt","","",1
2016-12-08 09:35:08.212 -0500,"Success",0:00:00,0,0,0,"20161208_093508.212/LogFile.txt","","",1
