Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-09-20 12:29:53.307 -0600,"Success",0:00:03,0,0,0,"20160920_122953.307/LogFile.txt","","",1
2016-09-20 13:25:52.966 -0600,"Failure",0:00:01,1,0,0,"20160920_132552.966/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got '((202,208),(202,235),(202,262),(202,289),(202,316),(202,343),(202,370),(202,397),(202,424),(202,451),(202,478),(202,505),(202,532),(202,559),(202,586),(202,613),(202,640),(202,667),(202,694),(202,721),(202,748),(202,775),(202,802),(202,829))'.",0
2016-09-20 13:26:32.718 -0600,"Failure",0:00:01,1,0,1,"20160920_132632.718/LogFile.txt","","File Not Found -- readtext Error - Could Not Open Image: ReadEnglishName",0
2016-09-20 13:29:30.415 -0600,"Success",0:00:01,0,0,0,"20160920_132930.415/LogFile.txt","","",1
2016-09-20 13:29:41.755 -0600,"Success",0:00:01,0,0,0,"20160920_132941.755/LogFile.txt","","",1
2016-09-20 13:29:51.740 -0600,"Failure",0:00:01,1,0,1,"20160920_132951.740/LogFile.txt","","File Not Found -- readtext Error - Could Not Open Image: 192",0
2016-09-20 13:30:10.743 -0600,"Failure",0:00:01,1,0,1,"20160920_133010.743/LogFile.txt","","File Not Found -- readtext Error - Could Not Open Image: 192",0
2016-09-20 13:30:48.283 -0600,"Failure",0:00:03,1,0,1,"20160920_133048.283/LogFile.txt","","File Not Found -- readtext Error - Could Not Open Image: 192",0
2016-09-20 13:31:19.910 -0600,"Success",0:00:03,0,0,0,"20160920_133119.910/LogFile.txt","","",1
2016-09-20 13:31:34.981 -0600,"Success",0:00:03,0,0,0,"20160920_133134.981/LogFile.txt","","",1
2016-09-20 13:33:06.432 -0600,"Success",0:00:02,0,0,0,"20160920_133306.432/LogFile.txt","","",1
2016-09-20 13:33:32.375 -0600,"Success",0:00:02,0,0,0,"20160920_133332.375/LogFile.txt","","",1
2016-09-20 13:33:45.525 -0600,"Success",0:00:02,0,0,0,"20160920_133345.525/LogFile.txt","","",1
2016-09-20 13:34:06.341 -0600,"Success",0:00:02,0,0,0,"20160920_133406.341/LogFile.txt","","",1
2016-09-20 13:34:14.062 -0600,"Success",0:00:02,0,0,0,"20160920_133414.062/LogFile.txt","","",1
2016-09-20 13:34:22.168 -0600,"Success",0:00:02,0,0,0,"20160920_133422.168/LogFile.txt","","",1
2016-09-20 13:34:28.918 -0600,"Success",0:00:02,0,0,0,"20160920_133428.918/LogFile.txt","","",1
2016-09-20 13:34:35.241 -0600,"Success",0:00:02,0,0,0,"20160920_133435.241/LogFile.txt","","",1
2016-09-20 13:34:42.779 -0600,"Success",0:00:02,0,0,0,"20160920_133442.779/LogFile.txt","","",1
2016-09-20 13:34:53.461 -0600,"Success",0:00:03,0,0,0,"20160920_133453.461/LogFile.txt","","",1
2016-09-20 13:35:23.991 -0600,"Success",0:00:03,0,0,0,"20160920_133523.991/LogFile.txt","","",1
2016-09-20 13:35:36.616 -0600,"Success",0:00:04,0,0,0,"20160920_133536.616/LogFile.txt","","",1
2016-09-20 13:40:21.440 -0600,"Success",0:00:03,0,0,0,"20160920_134021.440/LogFile.txt","","",1
2016-09-20 13:40:33.390 -0600,"Success",0:00:03,0,0,0,"20160920_134033.390/LogFile.txt","","",1
2016-09-21 15:24:26.919 -0700,"Success",0:00:03,0,0,0,"20160921_152426.919/LogFile.txt","","",1
2016-09-27 07:55:04.931 -0600,"Success",0:00:03,0,0,0,"20160927_075504.931/LogFile.txt","","",1
2016-10-12 14:55:12.348 -0600,"Success",0:00:04,0,0,0,"20161012_145512.348/LogFile.txt","","",1
2016-10-20 13:16:24.224 -0600,"Success",0:00:04,0,0,0,"20161020_131624.224/LogFile.txt","","",1
2016-10-20 13:17:24.785 -0600,"Success",0:00:04,0,0,0,"20161020_131724.785/LogFile.txt","","",1
2016-11-02 10:45:11.950 -0400,"Success",0:00:03,0,0,0,"20161102_104511.950/LogFile.txt","","",1
2016-11-02 10:45:35.778 -0400,"Success",0:00:03,0,0,0,"20161102_104535.778/LogFile.txt","","",1
2016-11-09 15:59:34.844 -0700,"Success",0:00:04,0,0,0,"20161109_155934.844/LogFile.txt","","",1
2016-11-09 16:10:24.261 -0700,"Success",0:00:04,0,0,0,"20161109_161024.261/LogFile.txt","","",1
2016-11-09 16:29:43.483 -0700,"Success",0:00:03,0,0,0,"20161109_162943.483/LogFile.txt","","",1
2016-11-09 16:29:56.295 -0700,"Success",0:00:03,0,0,0,"20161109_162956.295/LogFile.txt","","",1
