Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-09-29 10:09:22.361 -0600,"Success",0:00:00,0,0,0,"20160929_100922.361/LogFile.txt","","",1
2016-09-29 10:09:45.632 -0600,"Running",0:00:00,0,0,0,"20160929_100945.632/LogFile.txt","","",0
2016-09-29 10:12:14.245 -0600,"Failure",0:00:00,1,0,0,"20160929_101214.245/LogFile.txt","","STUnknownMessage -- ERROR: 'scriptresults' was called as a Command, but is only available as a Function",0
2016-09-29 10:13:31.196 -0600,"Failure",0:00:00,1,0,0,"20160929_101331.196/LogFile.txt","","STUnknownMessage -- ERROR: 'scriptresults' was called as a Command, but is only available as a Function",0
2016-09-29 10:13:45.866 -0600,"Success",0:00:00,0,0,0,"20160929_101345.866/LogFile.txt","","",1
2016-09-29 10:13:47.163 -0600,"Success",0:00:00,0,0,0,"20160929_101347.163/LogFile.txt","","",1
2016-09-29 10:13:47.739 -0600,"Success",0:00:00,0,0,0,"20160929_101347.739/LogFile.txt","","",1
2016-09-29 10:13:48.419 -0600,"Success",0:00:00,0,0,0,"20160929_101348.419/LogFile.txt","","",1
2016-09-29 10:13:49.142 -0600,"Success",0:00:00,0,0,0,"20160929_101349.142/LogFile.txt","","",1
2016-09-29 10:18:15.774 -0600,"Success",0:00:00,0,0,0,"20160929_101815.774/LogFile.txt","","",1
2016-10-21 09:54:53.497 -0600,"Success",0:00:01,0,0,0,"20161021_095453.497/LogFile.txt","","",1
2016-10-21 09:54:55.902 -0600,"Success",0:00:01,0,0,0,"20161021_095455.902/LogFile.txt","","",1
