Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-03-21 11:40:52.392 +0530,"Running",0:00:00,0,0,0,"20180321_114052.392/LogFile.txt","","",0
2018-03-21 11:41:01.339 +0530,"Success",0:00:04,0,0,0,"20180321_114101.339/LogFile.txt","","",1
2018-03-21 11:41:07.141 +0530,"Success",0:00:04,0,0,0,"20180321_114107.141/LogFile.txt","","",1
2018-03-21 11:41:11.583 +0530,"Success",0:00:04,0,0,0,"20180321_114111.583/LogFile.txt","","",1
2018-03-21 11:41:16.471 +0530,"Success",0:00:04,0,0,0,"20180321_114116.471/LogFile.txt","","",1
2018-03-21 11:41:21.464 +0530,"Success",0:00:04,0,0,0,"20180321_114121.464/LogFile.txt","","",1
2018-03-21 11:41:26.052 +0530,"Success",0:00:04,0,0,0,"20180321_114126.052/LogFile.txt","","",1
2018-03-21 11:41:31.375 +0530,"Success",0:00:03,0,0,0,"20180321_114131.375/LogFile.txt","","",1
2018-03-21 11:41:42.643 +0530,"Success",0:00:03,0,0,0,"20180321_114142.643/LogFile.txt","","",1
2018-03-21 11:41:48.612 +0530,"Success",0:00:03,0,0,0,"20180321_114148.612/LogFile.txt","","",1
2018-03-21 11:41:53.584 +0530,"Success",0:00:03,0,0,0,"20180321_114153.584/LogFile.txt","","",1
2018-03-21 11:42:58.005 +0530,"Failure",0:00:01,1,0,0,"20180321_114258.005/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2018-03-21 11:43:30.450 +0530,"Running",0:00:00,0,0,0,"20180321_114330.450/LogFile.txt","","",0
2018-03-21 11:43:42.271 +0530,"Running",0:00:00,0,0,0,"20180321_114342.271/LogFile.txt","","",0
2018-03-21 11:43:52.522 +0530,"Running",0:00:00,0,0,0,"20180321_114352.522/LogFile.txt","","",0
2018-03-21 11:44:02.152 +0530,"Running",0:00:00,0,0,0,"20180321_114402.152/LogFile.txt","","",0
2018-03-21 11:44:13.338 +0530,"Failure",0:00:11,1,0,0,"20180321_114413.338/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2018-03-21 11:44:32.104 +0530,"Failure",0:00:11,1,0,0,"20180321_114432.104/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2018-03-21 11:45:02.370 +0530,"Failure",0:00:01,1,0,0,"20180321_114502.370/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2018-03-21 11:46:22.885 +0530,"Failure",0:00:00,1,0,0,"20180321_114622.885/LogFile.txt","","SenseTalk Compiler Exception -- in master:\nSyntax Error at line 22: Syntax Error - can't understand ""repeat"" at or near character 385",0
2018-03-21 11:46:37.561 +0530,"Failure",0:00:01,1,0,0,"20180321_114637.561/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2018-03-21 11:47:47.058 +0530,"Success",0:00:01,0,1,0,"20180321_114747.058/LogFile.txt","","",1
2018-03-21 11:48:51.015 +0530,"Success",0:00:03,0,1,0,"20180321_114851.015/LogFile.txt","","",1
2018-03-21 11:49:15.946 +0530,"Failure",0:00:08,1,0,1,"20180321_114915.946/LogFile.txt","","File Not Found -- readtext Error - Could Not Open Image: 201",0
2018-03-21 11:49:40.573 +0530,"Failure",0:00:03,1,0,1,"20180321_114940.573/LogFile.txt","","File Not Found -- readtext Error - Could Not Open Image: 201",0
2018-03-21 11:50:06.396 +0530,"Success",0:00:01,0,1,0,"20180321_115006.396/LogFile.txt","","",1
2018-03-21 12:51:04.202 +0530,"Success",0:00:00,0,0,0,"20180321_125104.202/LogFile.txt","","",1
2018-03-21 12:51:12.626 +0530,"Success",0:00:00,0,0,0,"20180321_125112.626/LogFile.txt","","",1
2018-03-21 12:51:28.022 +0530,"Success",0:00:01,0,0,0,"20180321_125128.022/LogFile.txt","","",1
2018-03-21 12:51:33.099 +0530,"Success",0:00:01,0,0,0,"20180321_125133.099/LogFile.txt","","",1
2018-03-21 12:51:37.092 +0530,"Success",0:00:01,0,0,0,"20180321_125137.092/LogFile.txt","","",1
2018-03-21 12:51:41.690 +0530,"Success",0:00:01,0,0,0,"20180321_125141.690/LogFile.txt","","",1
2018-03-21 12:52:09.221 +0530,"Running",0:00:00,0,0,0,"20180321_125209.221/LogFile.txt","","",0
2018-03-21 12:52:40.807 +0530,"Success",0:00:02,0,0,0,"20180321_125240.807/LogFile.txt","","",1
2018-03-21 12:52:44.686 +0530,"Success",0:00:02,0,0,0,"20180321_125244.686/LogFile.txt","","",1
2018-03-21 12:53:36.938 +0530,"Running",0:00:00,0,0,0,"20180321_125336.938/LogFile.txt","","",0
2018-03-21 12:54:35.570 +0530,"Running",0:00:00,0,0,0,"20180321_125435.570/LogFile.txt","","",0
2018-03-21 12:55:58.022 +0530,"Running",0:00:00,0,0,0,"20180321_125558.022/LogFile.txt","","",0
2018-03-21 12:56:53.385 +0530,"Running",0:00:00,0,0,0,"20180321_125653.385/LogFile.txt","","",0
2018-03-21 12:57:13.836 +0530,"Running",0:00:00,0,0,0,"20180321_125713.836/LogFile.txt","","",0
2018-03-21 13:03:19.080 +0530,"Running",0:00:00,0,0,0,"20180321_130319.080/LogFile.txt","","",0
2018-03-21 13:04:08.677 +0530,"Success",0:00:08,0,1,0,"20180321_130408.677/LogFile.txt","","",1
2018-03-21 13:10:57.197 +0530,"Running",0:00:00,0,0,0,"20180321_131057.197/LogFile.txt","","",0
2018-03-21 13:11:50.199 +0530,"Running",0:00:00,0,0,0,"20180321_131150.199/LogFile.txt","","",0
2018-03-21 13:12:57.705 +0530,"Success",0:00:09,0,1,0,"20180321_131257.705/LogFile.txt","","",1
2018-03-21 13:14:02.404 +0530,"Success",0:00:09,0,1,0,"20180321_131402.404/LogFile.txt","","",1
2018-03-21 13:14:15.930 +0530,"Success",0:00:21,0,1,0,"20180321_131415.930/LogFile.txt","","",1
2018-03-21 13:14:53.504 +0530,"Running",0:00:00,0,0,0,"20180321_131453.504/LogFile.txt","","",0
2018-03-21 13:15:11.210 +0530,"Success",0:00:23,0,1,0,"20180321_131511.210/LogFile.txt","","",1
2018-03-21 13:16:12.697 +0530,"Success",0:00:09,0,1,0,"20180321_131612.697/LogFile.txt","","",1
2018-03-21 13:16:26.512 +0530,"Success",0:00:23,0,1,0,"20180321_131626.512/LogFile.txt","","",1
