Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-06-29 10:25:35.171 -0600,"Success",0:00:19,0,0,0,"20170629_102535.171/LogFile.txt","","",1
2017-06-29 11:12:08.710 -0600,"Success",0:00:18,0,0,0,"20170629_111208.710/LogFile.txt","","",1
2017-06-29 11:22:14.628 -0600,"Failure",0:00:17,1,0,1,"20170629_112214.628/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: CheckServices/StatusRestart",0
2017-06-29 11:24:16.342 -0600,"Success",0:00:24,0,0,0,"20170629_112416.342/LogFile.txt","","",1
2017-06-29 11:25:08.103 -0600,"Success",0:00:24,0,0,0,"20170629_112508.103/LogFile.txt","","",1
2017-06-29 11:27:01.018 -0600,"Success",0:00:23,0,0,0,"20170629_112701.018/LogFile.txt","","",1
2017-06-29 11:27:43.084 -0600,"Success",0:00:25,0,0,0,"20170629_112743.084/LogFile.txt","","",1
2017-06-29 12:55:36.063 -0600,"Success",0:00:22,0,0,0,"20170629_125536.063/LogFile.txt","","",1
2017-06-29 12:56:07.577 -0600,"Success",0:00:22,0,0,0,"20170629_125607.577/LogFile.txt","","",1
2017-06-29 12:56:54.702 -0600,"Success",0:00:19,0,0,0,"20170629_125654.702/LogFile.txt","","",1
2017-06-30 10:48:15.305 -0600,"Success",0:00:22,0,0,0,"20170630_104815.305/LogFile.txt","","",1
2017-06-30 10:48:58.234 -0600,"Success",0:00:25,0,0,0,"20170630_104858.234/LogFile.txt","","",1
