Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-06-29 08:53:03.330 -0600,"Success",0:00:01,0,0,0,"20170629_085303.330/LogFile.txt","","",1
2017-06-29 08:53:21.504 -0600,"Success",0:00:01,0,0,0,"20170629_085321.504/LogFile.txt","","",1
2017-06-29 08:55:20.693 -0600,"Success",0:00:02,0,0,0,"20170629_085520.693/LogFile.txt","","",1
2017-06-29 09:14:56.532 -0600,"Running",0:00:00,0,0,0,"20170629_091456.532/LogFile.txt","","",0
2017-06-29 09:18:18.492 -0600,"Running",0:00:00,0,0,0,"20170629_091818.492/LogFile.txt","","",0
2017-06-29 09:21:03.270 -0600,"Running",0:00:00,0,0,0,"20170629_092103.270/LogFile.txt","","",0
2017-06-29 09:21:37.639 -0600,"Running",0:00:00,0,0,0,"20170629_092137.639/LogFile.txt","","",0
2017-06-29 09:22:11.746 -0600,"Running",0:00:00,0,0,0,"20170629_092211.746/LogFile.txt","","",0
2017-06-29 09:23:48.710 -0600,"Success",0:00:09,0,0,0,"20170629_092348.710/LogFile.txt","","",1
2017-06-29 09:24:22.204 -0600,"Success",0:00:05,0,0,0,"20170629_092422.204/LogFile.txt","","",1
2017-06-29 09:25:42.857 -0600,"Running",0:00:00,0,0,0,"20170629_092542.857/LogFile.txt","","",0
2017-06-29 09:49:48.099 -0600,"Success",0:00:13,0,0,0,"20170629_094948.099/LogFile.txt","","",1
2017-06-29 09:53:45.650 -0600,"Success",0:00:11,0,0,0,"20170629_095345.650/LogFile.txt","","",1
2017-06-29 09:56:37.990 -0600,"Success",0:00:11,0,0,0,"20170629_095637.990/LogFile.txt","","",1
2017-06-29 09:57:08.552 -0600,"Success",0:00:13,0,0,0,"20170629_095708.552/LogFile.txt","","",1
2017-06-29 09:58:21.998 -0600,"Success",0:00:15,0,0,0,"20170629_095821.998/LogFile.txt","","",1
2017-06-29 09:59:49.982 -0600,"Success",0:00:15,0,0,0,"20170629_095949.982/LogFile.txt","","",1
2017-06-29 10:00:23.654 -0600,"Success",0:00:13,0,0,0,"20170629_100023.654/LogFile.txt","","",1
2017-06-29 10:01:04.374 -0600,"Success",0:00:13,0,0,0,"20170629_100104.374/LogFile.txt","","",1
2017-06-29 10:02:06.517 -0600,"Success",0:00:13,0,0,0,"20170629_100206.517/LogFile.txt","","",1
2017-06-29 10:07:39.322 -0600,"Failure",0:00:00,1,0,0,"20170629_100739.322/LogFile.txt","","SenseTalk Compiler Exception -- in index:\nSyntax Error at line 38: Syntax Error - can't understand ""if"" at or near character 683",0
2017-06-29 10:07:49.135 -0600,"Success",0:00:24,0,0,0,"20170629_100749.135/LogFile.txt","","",1
2017-06-29 10:09:08.719 -0600,"Success",0:00:12,0,0,0,"20170629_100908.719/LogFile.txt","","",1
2017-06-29 10:22:09.354 -0600,"Success",0:00:19,0,0,0,"20170629_102209.354/LogFile.txt","","",1
2017-06-29 10:25:19.583 -0600,"Failure",0:00:01,1,0,1,"20170629_102519.583/LogFile.txt","","File Not Found -- waitfor Error - Could Not Open Image: Gears Icon",0
