Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-11-02 19:04:59.643 -0400,"Success",0:00:00,0,0,0,"20161102_190459.643/LogFile.txt","","",1
2016-11-02 19:05:12.297 -0400,"Success",0:00:01,0,0,0,"20161102_190512.297/LogFile.txt","","",1
2016-11-02 19:05:22.505 -0400,"Success",0:00:00,0,0,0,"20161102_190522.505/LogFile.txt","","",1
2016-11-02 19:06:08.389 -0400,"Success",0:00:00,0,0,0,"20161102_190608.389/LogFile.txt","","",1
2016-11-02 19:08:35.750 -0400,"Failure",0:00:00,1,0,0,"20161102_190835.750/LogFile.txt","","STUnknownMessage -- ERROR: 'trimend' was called as a Command, but is only available as a Function",0
2016-11-02 19:09:00.243 -0400,"Failure",0:00:00,1,0,0,"20161102_190900.243/LogFile.txt","","STUnknownMessage -- ERROR: 'trimend' was called as a Command, but is only available as a Function",0
2016-11-02 19:09:13.680 -0400,"Success",0:00:00,0,0,0,"20161102_190913.680/LogFile.txt","","",1
2016-11-02 19:09:24.774 -0400,"Success",0:00:00,0,0,0,"20161102_190924.774/LogFile.txt","","",1
2016-11-02 19:11:00.037 -0400,"Success",0:00:00,0,0,0,"20161102_191100.037/LogFile.txt","","",1
2016-11-02 19:12:59.180 -0400,"Success",0:00:00,0,0,0,"20161102_191259.180/LogFile.txt","","",1
2016-11-02 19:17:42.323 -0400,"Success",0:00:01,0,0,0,"20161102_191742.323/LogFile.txt","","",1
