Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-05-31 12:46:26.492 -0600,"Failure",0:00:02,1,0,0,"20170531_124626.492/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands for addition: expected numbers, dates and/or lists; got '(-200,-10)' and '(891,134,891,161)'",0
2017-05-31 12:46:52.324 -0600,"Failure",0:00:02,1,0,0,"20170531_124652.324/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands for addition: expected numbers, dates and/or lists; got '(-200,-10)' and '(891,134,891,161)'",0
2017-05-31 12:47:06.666 -0600,"Success",0:00:04,0,0,0,"20170531_124706.666/LogFile.txt","","",1
2017-05-31 12:47:34.206 -0600,"Failure",0:00:01,1,0,1,"20170531_124734.206/LogFile.txt","","Error Running Script Command -- imagelocation Error - Image Property List did not contain ""ImageName"" property",0
2017-05-31 12:47:45.729 -0600,"Failure",0:00:01,1,0,1,"20170531_124745.729/LogFile.txt","","Error Running Script Command -- imagelocation Error - Image Property List did not contain ""ImageName"" property",0
2017-05-31 12:47:59.199 -0600,"Success",0:00:00,0,0,0,"20170531_124759.199/LogFile.txt","","",1
2017-05-31 12:48:13.384 -0600,"Success",0:00:00,0,0,0,"20170531_124813.384/LogFile.txt","","",1
2017-05-31 12:48:47.602 -0600,"Success",0:00:20,0,0,0,"20170531_124847.602/LogFile.txt","","",1
2017-05-31 12:50:09.725 -0600,"Running",0:00:00,0,0,0,"20170531_125009.725/LogFile.txt","","",0
2017-05-31 12:50:34.508 -0600,"Success",0:00:00,0,0,0,"20170531_125034.508/LogFile.txt","","",1
2017-05-31 12:50:40.758 -0600,"Success",0:00:00,0,0,0,"20170531_125040.758/LogFile.txt","","",1
2017-05-31 12:50:52.114 -0600,"Success",0:00:00,0,0,0,"20170531_125052.114/LogFile.txt","","",1
2017-05-31 12:51:00.879 -0600,"Success",0:00:00,0,0,0,"20170531_125100.879/LogFile.txt","","",1
