Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-05-26 14:14:55.282 -0600,"Success",0:00:02,0,0,0,"20170526_141455.282/LogFile.txt","","",1
2017-05-26 14:15:44.534 -0600,"Success",0:00:01,0,0,0,"20170526_141544.534/LogFile.txt","","",1
2017-05-26 14:17:43.236 -0600,"Success",0:00:00,0,0,0,"20170526_141743.236/LogFile.txt","","",1
2017-05-26 14:17:53.652 -0600,"Success",0:00:00,0,0,0,"20170526_141753.652/LogFile.txt","","",1
2017-05-26 14:18:22.337 -0600,"Success",0:00:00,0,0,0,"20170526_141822.337/LogFile.txt","","",1
2017-05-26 14:18:48.489 -0600,"Success",0:00:01,0,0,0,"20170526_141848.489/LogFile.txt","","",1
2017-05-26 14:18:58.255 -0600,"Success",0:00:00,0,0,0,"20170526_141858.255/LogFile.txt","","",1
2017-05-26 14:19:31.786 -0600,"Success",0:00:00,0,0,0,"20170526_141931.786/LogFile.txt","","",1
2017-05-26 14:19:44.055 -0600,"Success",0:00:00,0,0,0,"20170526_141944.055/LogFile.txt","","",1
2017-05-26 14:19:51.095 -0600,"Success",0:00:00,0,0,0,"20170526_141951.095/LogFile.txt","","",1
