Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-09-20 10:21:25.955 -0600,"Success",0:00:07,0,0,0,"20160920_102125.955/LogFile.txt","","",1
2016-09-20 10:21:36.888 -0600,"Success",0:00:06,0,0,0,"20160920_102136.888/LogFile.txt","","",1
2016-09-20 10:22:04.848 -0600,"Success",0:00:06,0,0,0,"20160920_102204.848/LogFile.txt","","",1
2016-09-20 10:23:53.722 -0600,"Failure",0:00:08,1,0,1,"20160920_102353.722/LogFile.txt","","File Not Found -- readtext Error - Could Not Open Image: 322",0
2016-09-20 10:25:51.712 -0600,"Success",0:00:19,0,0,0,"20160920_102551.712/LogFile.txt","","",1
2016-09-20 10:26:16.034 -0600,"Success",0:00:05,0,0,0,"20160920_102616.034/LogFile.txt","","",1
2016-09-20 10:26:46.692 -0600,"Success",0:00:05,0,0,0,"20160920_102646.692/LogFile.txt","","",1
2016-09-20 10:29:17.069 -0600,"Failure",0:00:05,1,0,0,"20160920_102917.069/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands for addition: expected numbers, dates and/or lists; got '(10,10)' and '(322,599,417,619)'",0
2016-09-20 10:30:23.182 -0600,"Failure",0:00:05,1,0,0,"20160920_103023.182/LogFile.txt","","STInvalidBoolean -- Value '4' is not TRUE, FALSE, YES, NO, ON, OFF or empty",0
2016-09-20 10:30:50.208 -0600,"Failure",0:00:05,1,0,0,"20160920_103050.208/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands for addition: expected numbers, dates and/or lists; got '(10,10)' and '(322,599,619)'",0
2016-09-20 10:31:12.073 -0600,"Success",0:00:05,0,0,0,"20160920_103112.073/LogFile.txt","","",1
2016-09-20 10:31:26.151 -0600,"Success",0:00:05,0,0,0,"20160920_103126.151/LogFile.txt","","",1
2016-09-20 10:31:56.305 -0600,"Success",0:00:05,0,0,0,"20160920_103156.305/LogFile.txt","","",1
2016-09-20 10:32:14.394 -0600,"Success",0:00:05,0,0,0,"20160920_103214.394/LogFile.txt","","",1
2016-09-20 10:39:32.161 -0600,"Success",0:00:03,0,0,0,"20160920_103932.161/LogFile.txt","","",1
2016-09-20 10:39:46.935 -0600,"Failure",0:00:00,1,0,0,"20160920_103946.935/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands for addition: expected numbers, dates and/or lists; got '(0,-100)' and 'English Name'",0
2016-09-20 10:40:01.746 -0600,"Success",0:00:03,0,0,0,"20160920_104001.746/LogFile.txt","","",1
