Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-03-16 13:20:38.495 +0530,"Running",0:00:00,0,0,0,"20180316_132038.495/LogFile.txt","","",0
2018-03-16 13:21:17.200 +0530,"Running",0:00:00,0,0,0,"20180316_132117.200/LogFile.txt","","",0
2018-03-16 13:21:43.008 +0530,"Success",0:00:00,0,0,0,"20180316_132143.008/LogFile.txt","","",1
2018-03-16 13:25:27.440 +0530,"Success",0:00:00,0,0,0,"20180316_132527.440/LogFile.txt","","",1
2018-03-16 13:25:42.684 +0530,"Success",0:00:00,0,0,0,"20180316_132542.684/LogFile.txt","","",1
2018-03-16 13:25:49.261 +0530,"Success",0:00:05,0,0,0,"20180316_132549.261/LogFile.txt","","",1
2018-03-16 13:25:56.267 +0530,"Success",0:00:05,0,0,0,"20180316_132556.267/LogFile.txt","","",1
2018-03-16 13:26:04.410 +0530,"Success",0:00:05,0,0,0,"20180316_132604.410/LogFile.txt","","",1
2018-03-16 13:27:19.411 +0530,"Success",0:00:01,0,0,0,"20180316_132719.411/LogFile.txt","","",1
2018-03-16 13:27:26.715 +0530,"Success",0:00:01,0,0,0,"20180316_132726.715/LogFile.txt","","",1
2018-03-16 13:28:29.253 +0530,"Success",0:00:01,0,0,0,"20180316_132829.253/LogFile.txt","","",1
2018-03-16 13:28:35.933 +0530,"Running",0:00:00,0,0,0,"20180316_132835.933/LogFile.txt","","",0
2018-03-16 13:28:42.987 +0530,"Running",0:00:00,0,0,0,"20180316_132842.987/LogFile.txt","","",0
2018-03-16 13:28:49.640 +0530,"Running",0:00:00,0,0,0,"20180316_132849.640/LogFile.txt","","",0
2018-03-16 13:28:56.915 +0530,"Success",0:00:06,0,0,0,"20180316_132856.915/LogFile.txt","","",1
2018-03-16 13:29:06.344 +0530,"Running",0:00:00,0,0,0,"20180316_132906.344/LogFile.txt","","",0
2018-03-16 13:29:13.199 +0530,"Success",0:00:06,0,0,0,"20180316_132913.199/LogFile.txt","","",1
2018-03-16 13:29:20.062 +0530,"Success",0:00:06,0,0,0,"20180316_132920.062/LogFile.txt","","",1
2018-03-16 13:29:27.394 +0530,"Running",0:00:00,0,0,0,"20180316_132927.394/LogFile.txt","","",0
2018-03-16 13:29:32.957 +0530,"Success",0:00:06,0,0,0,"20180316_132932.957/LogFile.txt","","",1
