Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-11-06 13:47:20.976 -0700,"Success",0:00:00,0,0,0,"20171106_134720.976/LogFile.txt","","",1
2017-11-07 10:43:28.826 -0700,"Success",0:00:00,0,0,0,"20171107_104328.826/LogFile.txt","","",1
2017-11-07 10:44:24.188 -0700,"Success",0:00:00,0,0,0,"20171107_104424.188/LogFile.txt","","",1
2017-11-07 11:02:06.694 -0700,"Success",0:00:00,0,0,0,"20171107_110206.694/LogFile.txt","","",1
2017-11-09 20:19:19.842 -0700,"Success",0:00:00,0,0,0,"20171109_201919.842/LogFile.txt","","",1
2017-11-09 20:23:25.939 -0700,"Success",0:00:00,0,0,0,"20171109_202325.939/LogFile.txt","","",1
2017-11-09 20:30:16.883 -0700,"Success",0:00:00,0,0,0,"20171109_203016.883/LogFile.txt","","",1
2017-11-09 20:31:07.867 -0700,"Success",0:00:00,0,0,0,"20171109_203107.867/LogFile.txt","","",1
2017-11-09 20:36:16.163 -0700,"Success",0:00:00,0,0,0,"20171109_203616.163/LogFile.txt","","",1
2017-11-09 20:37:45.569 -0700,"Success",0:00:00,0,0,0,"20171109_203745.569/LogFile.txt","","",1
2017-11-09 20:39:21.174 -0700,"Success",0:00:00,0,0,0,"20171109_203921.174/LogFile.txt","","",1
2017-11-09 20:40:34.974 -0700,"Success",0:00:00,0,0,0,"20171109_204034.974/LogFile.txt","","",1
2017-11-09 20:41:19.448 -0700,"Success",0:00:00,0,0,0,"20171109_204119.448/LogFile.txt","","",1
2017-11-09 20:41:27.229 -0700,"Success",0:00:00,0,0,0,"20171109_204127.229/LogFile.txt","","",1
2017-11-09 20:41:51.119 -0700,"Success",0:00:00,0,0,0,"20171109_204151.119/LogFile.txt","","",1
2017-11-09 20:42:20.476 -0700,"Success",0:00:00,0,0,0,"20171109_204220.476/LogFile.txt","","",1
2017-11-09 20:42:43.170 -0700,"Success",0:00:00,0,0,0,"20171109_204243.170/LogFile.txt","","",1
2017-11-09 20:42:50.870 -0700,"Success",0:00:00,0,0,0,"20171109_204250.870/LogFile.txt","","",1
2017-11-09 20:42:58.190 -0700,"Success",0:00:00,0,0,0,"20171109_204258.190/LogFile.txt","","",1
2017-11-09 20:43:36.222 -0700,"Success",0:00:00,0,0,0,"20171109_204336.222/LogFile.txt","","",1
2017-11-09 20:43:43.904 -0700,"Success",0:00:00,0,0,0,"20171109_204343.904/LogFile.txt","","",1
2017-11-09 20:44:34.769 -0700,"Success",0:00:00,0,0,0,"20171109_204434.769/LogFile.txt","","",1
