Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-09-23 13:18:17.110 -0600,"Success",0:00:01,0,0,0,"20160923_131817.110/LogFile.txt","","",1
2016-09-23 13:18:52.232 -0600,"Success",0:00:01,0,0,0,"20160923_131852.232/LogFile.txt","","",1
2016-09-23 13:26:53.804 -0600,"Failure",0:00:03,1,0,1,"20160923_132653.804/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2016-09-23 13:27:19.404 -0600,"Failure",0:00:08,1,0,1,"20160923_132719.404/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2016-09-23 13:27:42.486 -0600,"Success",0:00:10,0,0,0,"20160923_132742.486/LogFile.txt","","",1
2016-09-23 13:28:30.225 -0600,"Success",0:00:10,0,0,0,"20160923_132830.225/LogFile.txt","","",1
2016-09-23 13:30:35.988 -0600,"Success",0:00:10,0,0,0,"20160923_133035.988/LogFile.txt","","",1
2016-09-23 13:30:51.956 -0600,"Success",0:00:10,0,0,0,"20160923_133051.956/LogFile.txt","","",1
2016-09-23 13:31:41.895 -0600,"Success",0:00:10,0,0,0,"20160923_133141.895/LogFile.txt","","",1
2016-09-23 13:35:11.872 -0600,"Success",0:00:10,0,0,0,"20160923_133511.872/LogFile.txt","","",1
2016-09-23 13:35:55.062 -0600,"Success",0:00:10,0,0,0,"20160923_133555.062/LogFile.txt","","",1
