Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-10-19 09:24:18.658 -0600,"Success",0:00:00,0,0,0,"20181019_092418.658/LogFile.txt","","",1
2018-10-19 09:30:00.738 -0600,"Success",0:00:00,0,0,0,"20181019_093000.738/LogFile.txt","","",1
2018-10-19 10:12:39.981 -0600,"Success",0:00:00,0,0,0,"20181019_101239.981/LogFile.txt","","",1
2018-10-19 10:12:55.714 -0600,"Success",0:00:00,0,0,0,"20181019_101255.714/LogFile.txt","","",1
2018-10-19 10:13:45.729 -0600,"Success",0:00:00,0,0,0,"20181019_101345.729/LogFile.txt","","",1
2018-10-19 10:25:51.526 -0600,"Success",0:00:00,0,0,0,"20181019_102551.526/LogFile.txt","","",1
2018-10-19 10:27:25.489 -0600,"Success",0:00:00,0,0,0,"20181019_102725.489/LogFile.txt","","",1
2018-10-19 10:28:18.863 -0600,"Success",0:00:00,0,0,0,"20181019_102818.863/LogFile.txt","","",1
2018-10-19 10:28:29.164 -0600,"Success",0:00:00,0,0,0,"20181019_102829.164/LogFile.txt","","",1
2018-10-19 10:33:58.801 -0600,"Success",0:00:00,0,0,0,"20181019_103358.801/LogFile.txt","","",1
2018-10-22 10:18:26.218 -0600,"Success",0:00:00,0,0,0,"20181022_101826.218/LogFile.txt","","",1
2018-10-22 10:18:40.117 -0600,"Success",0:00:00,0,0,0,"20181022_101840.117/LogFile.txt","","",1
2018-10-22 10:20:39.145 -0600,"Success",0:00:00,0,0,0,"20181022_102039.145/LogFile.txt","","",1
2018-10-22 10:22:10.395 -0600,"Success",0:00:01,0,0,0,"20181022_102210.395/LogFile.txt","","",1
2018-10-22 10:22:53.965 -0600,"Success",0:00:00,0,0,0,"20181022_102253.965/LogFile.txt","","",1
2018-10-22 10:23:34.115 -0600,"Success",0:00:00,0,0,0,"20181022_102334.115/LogFile.txt","","",1
2018-10-22 10:25:29.615 -0600,"Success",0:00:00,0,0,0,"20181022_102529.615/LogFile.txt","","",1
2018-10-22 10:26:02.072 -0600,"Success",0:00:00,0,0,0,"20181022_102602.072/LogFile.txt","","",1
2018-10-22 10:29:23.292 -0600,"Success",0:00:00,0,0,0,"20181022_102923.292/LogFile.txt","","",1
2018-10-22 10:31:13.885 -0600,"Failure",0:00:00,1,0,0,"20181022_103113.885/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2018-10-25 08:22:43.845 -0500,"Failure",0:00:00,1,0,0,"20181025_082243.845/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
