Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-10-19 09:24:18.658 -0600,"Success",0:00:00,0,0,0,"20181019_092418.658/LogFile.txt","","",1
2018-10-19 09:30:00.738 -0600,"Success",0:00:00,0,0,0,"20181019_093000.738/LogFile.txt","","",1
2018-10-19 10:12:39.981 -0600,"Success",0:00:00,0,0,0,"20181019_101239.981/LogFile.txt","","",1
2018-10-19 10:12:55.714 -0600,"Success",0:00:00,0,0,0,"20181019_101255.714/LogFile.txt","","",1
2018-10-19 10:13:45.729 -0600,"Success",0:00:00,0,0,0,"20181019_101345.729/LogFile.txt","","",1
2018-10-19 10:25:51.526 -0600,"Success",0:00:00,0,0,0,"20181019_102551.526/LogFile.txt","","",1
2018-10-19 10:27:25.489 -0600,"Success",0:00:00,0,0,0,"20181019_102725.489/LogFile.txt","","",1
2018-10-19 10:28:18.863 -0600,"Success",0:00:00,0,0,0,"20181019_102818.863/LogFile.txt","","",1
2018-10-19 10:28:29.164 -0600,"Success",0:00:00,0,0,0,"20181019_102829.164/LogFile.txt","","",1
2018-10-19 10:33:58.801 -0600,"Success",0:00:00,0,0,0,"20181019_103358.801/LogFile.txt","","",1
2019-05-10 14:02:53.370 -0600,"Success",0:00:00,0,0,0,"20190510_140253.370/LogFile.txt","","",1
2019-05-10 14:04:58.035 -0600,"Success",0:00:00,0,0,0,"20190510_140458.035/LogFile.txt","","",1
2019-05-10 14:05:30.308 -0600,"Success",0:00:00,0,0,0,"20190510_140530.308/LogFile.txt","","",1
2019-05-10 14:06:39.802 -0600,"Success",0:00:00,0,0,0,"20190510_140639.802/LogFile.txt","","",1
2019-05-10 14:07:05.706 -0600,"Success",0:00:00,0,0,0,"20190510_140705.706/LogFile.txt","","",1
2019-05-10 14:08:17.983 -0600,"Success",0:00:00,0,0,0,"20190510_140817.983/LogFile.txt","","",1
2019-05-10 14:08:42.549 -0600,"Success",0:00:00,0,0,0,"20190510_140842.549/LogFile.txt","","",1
2019-05-10 14:09:48.896 -0600,"Success",0:00:00,0,0,0,"20190510_140948.896/LogFile.txt","","",1
2020-02-26 05:21:58 +0000,"Success",0:00:00,0,0,0,"20200225_222158.217/LogFile.txt","","",1
